Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1712437128921,384522.81352233887,4700,1,0.30000000000000004,168997.64991760254,4700,1,0.30000000000000004,180283.70722961426,4700,1,0.30000000000000004,190110.1903076172,4700,1,0.30000000000000004,185043.23414611816,4700,1,0.30000000000000004,182242.0065460205,4700,1,0.30000000000000004,180717.02503967285,4700,1,0.30000000000000004,179582.64218139648,4700,1,0.30000000000000004,186149.89918518066,4700,1,0.30000000000000004,163792.53848266602,4700,1,0.30000000000000004,163458.1408843994,4700,1,0.30000000000000004,178941.99534606934,4700,1,0.30000000000000004,64010175.407943726,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,0,0,2.6315789222717285,2.6315789222717285,0,0,0,0,0,0,0,0,15.384615898132324,0,0,0,0,0,2.5641026496887207,0,0,0,0,0,66480517120,2147479552,36087619584,0
99,1712437128921,384522.815032959,4700,1,0.30000000000000004,168997.65939331055,4700,1,0.30000000000000004,180283.70811462402,4700,1,0.30000000000000004,190110.19175720215,4700,1,0.30000000000000004,185043.2451019287,4700,1,0.30000000000000004,182242.00799560547,4700,1,0.30000000000000004,180717.0263824463,4700,1,0.30000000000000004,179582.64344787598,4700,1,0.30000000000000004,186149.90045166016,4700,1,0.30000000000000004,163792.53941345215,4700,1,0.30000000000000004,163458.14179992676,4700,1,0.30000000000000004,178941.99626159668,4700,1,0.30000000000000004,64010175.4957428,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,0,0,2.6315789222717285,2.6315789222717285,0,0,0,0,0,0,0,0,15.384615898132324,0,0,0,0,0,2.5641026496887207,0,0,0,0,0,66480517120,2147479552,36090200064,0
99,1712437129022,384522.9740447998,4700,1,0.30000000000000004,168997.72966003418,4700,1,0.30000000000000004,180283.79608154297,4700,1,0.30000000000000004,190110.30784606934,4700,1,0.30000000000000004,185043.37057495117,4700,1,0.30000000000000004,182242.1258239746,4700,1,0.30000000000000004,180717.1919555664,4700,1,0.30000000000000004,179582.7638092041,4700,1,0.30000000000000004,186150.03515625,4700,1,0.30000000000000004,163792.66172790527,4700,1,0.30000000000000004,163458.263671875,4700,1,0.30000000000000004,178942.0855255127,4700,1,0.30000000000000004,64010179.875427246,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,0,0,2.6315789222717285,2.6315789222717285,0,0,0,0,0,0,0,0,15.384615898132324,0,0,0,0,0,2.5641026496887207,0,0,0,0,0,66480517120,2147479552,36098113536,0
99,1712437129122,384522.9938659668,4700,1,0.3062499999999999,168997.754196167,4700,1,0.3062499999999999,180283.80178833008,4700,1,0.3062499999999999,190110.3611907959,4700,1,0.3062499999999999,185043.38847351074,4700,1,0.3062499999999999,182242.6160888672,4700,1,0.3062499999999999,180717.2021484375,4700,1,0.3062499999999999,179582.7960205078,4700,1,0.3062499999999999,186150.03909301758,4700,1,0.3062499999999999,163792.6904144287,4700,1,0.3062499999999999,163458.36880493164,4700,1,0.3062499999999999,178942.14569091797,4700,1,0.3062499999999999,64010184.022506714,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,4.761904716491699,0,4.761904716491699,0,5.263157844543457,0,0,47.36842346191406,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,5,0,5.263157844543457,0,5,5,4.761904716491699,0,66480517120,2147479552,36094713856,0
99,1712437129222,384523.0004272461,4700,1,0.30000000000000004,168997.7841949463,4700,1,0.30000000000000004,180283.81573486328,4700,1,0.30000000000000004,190110.38984680176,4700,1,0.30000000000000004,185043.4602508545,4700,1,0.30000000000000004,182243.1004486084,4700,1,0.30000000000000004,180717.20733642578,4700,1,0.30000000000000004,179582.8017578125,4700,1,0.30000000000000004,186150.04461669922,4700,1,0.30000000000000004,163792.703414917,4700,1,0.30000000000000004,163458.4737701416,4700,1,0.30000000000000004,178942.1632232666,4700,1,0.30000000000000004,64010188.20832825,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,4.761904716491699,0,4.761904716491699,0,5.263157844543457,0,0,47.36842346191406,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,5,0,5.263157844543457,0,5,5,4.761904716491699,0,66480517120,2147479552,36090134528,0
99,1712437129322,384523.05281066895,4700,1,0.30000000000000004,168997.84135437012,4700,1,0.30000000000000004,180283.87464904785,4700,1,0.30000000000000004,190110.48651123047,4700,1,0.30000000000000004,185043.55239868164,4700,1,0.30000000000000004,182243.60014343262,4700,1,0.30000000000000004,180717.2462463379,4700,1,0.30000000000000004,179582.88276672363,4700,1,0.30000000000000004,186150.07284545898,4700,1,0.30000000000000004,163792.79092407227,4700,1,0.30000000000000004,163458.5865020752,4700,1,0.30000000000000004,178942.19145202637,4700,1,0.30000000000000004,64010192.68699646,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,0,0,9.523809432983398,0,5,0,0,100,0,0,0,4.761904716491699,0,5,0,4.761904716491699,0,5,0,0,0,5,0,0,66480517120,2147479552,36091678720,0
99,1712437129422,384523.0576171875,4700,1,0.30000000000000004,168997.86288452148,4700,1,0.30000000000000004,180283.88116455078,4700,1,0.30000000000000004,190110.56246948242,4700,1,0.30000000000000004,185043.55853271484,4700,1,0.30000000000000004,182244.09254455566,4700,1,0.30000000000000004,180717.27557373047,4700,1,0.30000000000000004,179582.95642089844,4700,1,0.30000000000000004,186150.0805053711,4700,1,0.30000000000000004,163792.80714416504,4700,1,0.30000000000000004,163458.68644714355,4700,1,0.30000000000000004,178942.1986541748,4700,1,0.30000000000000004,64010196.818344116,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,0,0,9.523809432983398,0,5,0,0,100,0,0,0,4.761904716491699,0,5,0,4.761904716491699,0,5,0,0,0,5,0,0,66480517120,2147479552,36091924480,0
99,1712437129522,384523.0626525879,4700,1,0.30000000000000004,168997.87731933594,4700,1,0.30000000000000004,180283.96600341797,4700,1,0.30000000000000004,190110.62269592285,4700,1,0.30000000000000004,185043.57386779785,4700,1,0.30000000000000004,182244.57649230957,4700,1,0.30000000000000004,180717.32888793945,4700,1,0.30000000000000004,179583.04502868652,4700,1,0.30000000000000004,186150.09001159668,4700,1,0.30000000000000004,163792.84239196777,4700,1,0.30000000000000004,163458.76902770996,4700,1,0.30000000000000004,178942.21913146973,4700,1,0.30000000000000004,64010201.02737427,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,0,0,4.761904716491699,0,0,0,0,100,0,0,0,5,0,0,0,0,5.263157844543457,0,0,0,0,0,0,0,66480517120,2147479552,36087353344,0
99,1712437129622,384523.0725097656,4700,1,0.30000000000000004,168997.8959197998,4700,1,0.30000000000000004,180284.07432556152,4700,1,0.30000000000000004,190110.64039611816,4700,1,0.30000000000000004,185043.59675598145,4700,1,0.30000000000000004,182245.0509033203,4700,1,0.30000000000000004,180717.33477783203,4700,1,0.30000000000000004,179583.13247680664,4700,1,0.30000000000000004,186150.0990447998,4700,1,0.30000000000000004,163792.8765411377,4700,1,0.30000000000000004,163458.81953430176,4700,1,0.30000000000000004,178942.26623535156,4700,1,0.30000000000000004,64010205.32035828,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,0,0,4.761904716491699,0,0,0,0,100,0,0,0,5,0,0,0,0,5.263157844543457,0,0,0,0,0,0,0,66480517120,2147479552,36089159680,0
99,1712437129722,384523.0827331543,4700,1,0.30000000000000004,168997.90977478027,4700,1,0.30000000000000004,180284.17658996582,4700,1,0.30000000000000004,190110.652633667,4700,1,0.30000000000000004,185043.60977172852,4700,1,0.30000000000000004,182245.5334625244,4700,1,0.30000000000000004,180717.3490447998,4700,1,0.30000000000000004,179583.16888427734,4700,1,0.30000000000000004,186150.10316467285,4700,1,0.30000000000000004,163792.9010925293,4700,1,0.30000000000000004,163458.85026550293,4700,1,0.30000000000000004,178942.2799835205,4700,1,0.30000000000000004,64010209.58433533,400,400,4693,4692,4696,4697,4699,4696,400,4700,400,4687,400,4693,4687,4690,4692,400,400,4679,400,4692,400,4693,0,0,0,0,4.761904716491699,0,0,95.23809814453125,0,5,0,5,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,66480517120,2147479552,36090388480,0
