Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1712445744809,415398.4155731201,4700,1,0.30000000000000004,172135.6064453125,4700,1,0.30000000000000004,183153.49256896973,4700,1,0.30000000000000004,193818.38325500488,4700,1,0.30000000000000004,189074.9680633545,4700,1,0.30000000000000004,186048.45463562012,4700,1,0.30000000000000004,184503.78256225586,4700,1,0.30000000000000004,183585.226852417,4700,1,0.30000000000000004,189320.30485534668,4700,1,0.30000000000000004,166882.24462890625,4700,1,0.30000000000000004,166576.01669311523,4700,1,0.30000000000000004,182058.47012329102,4700,1,0.30000000000000004,64340429.86340332,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,3.125,0,3.125,0,0,3.0303030014038086,3.0303030014038086,0,3.125,3.125,0,0,0,3.125,0,0,3.125,3.125,0,0,0,0,3.22580623626709,0,66480517120,2147479552,36097417216,0
99,1712445744810,415398.41662597656,4700,1,0.30000000000000004,172135.60780334473,4700,1,0.30000000000000004,183153.4934387207,4700,1,0.30000000000000004,193818.3847808838,4700,1,0.30000000000000004,189074.9704437256,4700,1,0.30000000000000004,186048.46620178223,4700,1,0.30000000000000004,184503.78442382813,4700,1,0.30000000000000004,183585.22869873047,4700,1,0.30000000000000004,189320.30712890625,4700,1,0.30000000000000004,166882.24633789063,4700,1,0.30000000000000004,166576.0262451172,4700,1,0.30000000000000004,182058.47164916992,4700,1,0.30000000000000004,64340429.954437256,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,3.125,0,3.125,0,0,3.0303030014038086,3.0303030014038086,0,3.125,3.125,0,0,0,3.125,0,0,3.125,3.125,0,0,0,0,3.22580623626709,0,66480517120,2147479552,36100513792,0
99,1712445744910,415398.50173950195,4700,1,0.30000000000000004,172135.69590759277,4700,1,0.30000000000000004,183153.64311218262,4700,1,0.30000000000000004,193818.46723937988,4700,1,0.30000000000000004,189075.1145324707,4700,1,0.30000000000000004,186048.61779785156,4700,1,0.30000000000000004,184503.90074157715,4700,1,0.30000000000000004,183585.3662261963,4700,1,0.30000000000000004,189320.41384887695,4700,1,0.30000000000000004,166882.3634033203,4700,1,0.30000000000000004,166576.11651611328,4700,1,0.30000000000000004,182058.52299499512,4700,1,0.30000000000000004,64340434.3825531,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,3.125,0,3.125,0,0,3.0303030014038086,3.0303030014038086,0,3.125,3.125,0,0,0,3.125,0,0,3.125,3.125,0,0,0,0,3.22580623626709,0,66480517120,2147479552,36114083840,0
99,1712445745010,415398.50703430176,4700,1,0.30000000000000004,172135.70138549805,4700,1,0.30000000000000004,183153.66104125977,4700,1,0.30000000000000004,193818.4817352295,4700,1,0.30000000000000004,189075.12825012207,4700,1,0.30000000000000004,186048.6627960205,4700,1,0.30000000000000004,184503.90560913086,4700,1,0.30000000000000004,183585.37120056152,4700,1,0.30000000000000004,189320.43844604492,4700,1,0.30000000000000004,166882.3684539795,4700,1,0.30000000000000004,166576.19525146484,4700,1,0.30000000000000004,182058.53048706055,4700,1,0.30000000000000004,64340437.86526489,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,4.545454502105713,0,0,9.523809432983398,0,4.761904716491699,0,4.761904716491699,5,5,0,0,10,0,0,0,5,4.761904716491699,0,0,5,4.761904716491699,5,0,66480517120,2147479552,36114341888,0
99,1712445745110,415398.61949157715,4700,1,0.3062499999999999,172135.77098083496,4700,1,0.3062499999999999,183153.74263000488,4700,1,0.3062499999999999,193818.65447998047,4700,1,0.3062499999999999,189075.1884918213,4700,1,0.3062499999999999,186048.76148986816,4700,1,0.3062499999999999,184504.0576324463,4700,1,0.3062499999999999,183585.45626831055,4700,1,0.3062499999999999,189320.4951171875,4700,1,0.3062499999999999,166882.50540161133,4700,1,0.3062499999999999,166576.26190185547,4700,1,0.3062499999999999,182058.97456359863,4700,1,0.3062499999999999,64340442.58932495,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,4.545454502105713,0,0,9.523809432983398,0,4.761904716491699,0,4.761904716491699,5,5,0,0,10,0,0,0,5,4.761904716491699,0,0,5,4.761904716491699,5,0,66480517120,2147479552,36115304448,0
99,1712445745210,415398.7273864746,4700,1,0.30000000000000004,172135.8709564209,4700,1,0.30000000000000004,183153.82571411133,4700,1,0.30000000000000004,193818.7509918213,4700,1,0.30000000000000004,189075.3052368164,4700,1,0.30000000000000004,186048.88975524902,4700,1,0.30000000000000004,184504.21340942383,4700,1,0.30000000000000004,183585.5691986084,4700,1,0.30000000000000004,189320.6099395752,4700,1,0.30000000000000004,166882.86054992676,4700,1,0.30000000000000004,166576.34117126465,4700,1,0.30000000000000004,182059.43392944336,4700,1,0.30000000000000004,64340447.720321655,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,0,5.263157844543457,4.761904716491699,4.761904716491699,10,5,5,5,5,10,0,33.333335876464844,0,4.761904716491699,95.45454406738281,5,0,5,9.523809432983398,9.523809432983398,0,5,4.761904716491699,0,66480517120,2147479552,36101955584,0
99,1712445745310,415398.89527893066,4700,1,0.30000000000000004,172135.9831237793,4700,1,0.30000000000000004,183153.93341064453,4700,1,0.30000000000000004,193818.9439239502,4700,1,0.30000000000000004,189075.46656799316,4700,1,0.30000000000000004,186049.05058288574,4700,1,0.30000000000000004,184504.3917236328,4700,1,0.30000000000000004,183585.7279510498,4700,1,0.30000000000000004,189320.7516937256,4700,1,0.30000000000000004,166882.97720336914,4700,1,0.30000000000000004,166576.45153808594,4700,1,0.30000000000000004,182059.8719329834,4700,1,0.30000000000000004,64340452.71586609,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,0,5.263157844543457,4.761904716491699,4.761904716491699,10,5,5,5,5,10,0,33.333335876464844,0,4.761904716491699,95.45454406738281,5,0,5,9.523809432983398,9.523809432983398,0,5,4.761904716491699,0,66480517120,2147479552,36104265728,0
99,1712445745410,415398.9700164795,4700,1,0.30000000000000004,172136.08428955078,4700,1,0.30000000000000004,183153.9925994873,4700,1,0.30000000000000004,193819.05921936035,4700,1,0.30000000000000004,189075.57093811035,4700,1,0.30000000000000004,186049.20567321777,4700,1,0.30000000000000004,184504.50555419922,4700,1,0.30000000000000004,183585.81799316406,4700,1,0.30000000000000004,189320.82971191406,4700,1,0.30000000000000004,166883.10652160645,4700,1,0.30000000000000004,166576.52879333496,4700,1,0.30000000000000004,182060.31610107422,4700,1,0.30000000000000004,64340457.37553406,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,5,0,4.761904716491699,0,9.523809432983398,10.526315689086914,5,0,9.523809432983398,0,5,0,0,0,94.73684692382813,0,0,10.526315689086914,9.523809432983398,0,4.761904716491699,4.761904716491699,9.523809432983398,0,66480517120,2147479552,36099813376,0
99,1712445745510,415398.97605895996,4700,1,0.30000000000000004,172136.12057495117,4700,1,0.30000000000000004,183153.99745178223,4700,1,0.30000000000000004,193819.06588745117,4700,1,0.30000000000000004,189075.65084838867,4700,1,0.30000000000000004,186049.2883758545,4700,1,0.30000000000000004,184504.51359558105,4700,1,0.30000000000000004,183585.8265838623,4700,1,0.30000000000000004,189320.86978149414,4700,1,0.30000000000000004,166883.19717407227,4700,1,0.30000000000000004,166576.55055236816,4700,1,0.30000000000000004,182060.78086853027,4700,1,0.30000000000000004,64340461.57128906,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,5,0,4.761904716491699,0,9.523809432983398,10.526315689086914,5,0,9.523809432983398,0,5,0,0,0,94.73684692382813,0,0,10.526315689086914,9.523809432983398,0,4.761904716491699,4.761904716491699,9.523809432983398,0,66480517120,2147479552,36100788224,0
99,1712445745610,415399.1258392334,4700,1,0.30000000000000004,172136.2560119629,4700,1,0.30000000000000004,183154.08227539063,4700,1,0.30000000000000004,193819.22004699707,4700,1,0.30000000000000004,189075.79832458496,4700,1,0.30000000000000004,186049.38920593262,4700,1,0.30000000000000004,184504.62672424316,4700,1,0.30000000000000004,183585.97650146484,4700,1,0.30000000000000004,189320.9923248291,4700,1,0.30000000000000004,166883.29278564453,4700,1,0.30000000000000004,166576.65965270996,4700,1,0.30000000000000004,182061.22633361816,4700,1,0.30000000000000004,64340466.47898865,4690,400,400,4687,400,400,4690,400,400,4690,400,4690,400,400,400,4690,4690,4690,400,400,400,400,400,4688,0,0,0,0,5.263157844543457,14.285715103149414,0,0,0,0,0,0,5,0,95.23809814453125,9.523809432983398,0,9.523809432983398,0,0,0,0,5,0,66480517120,2147479552,36100849664,0
