Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1710268041541,227597.56245422363,4700,1,0.30000000000000004,77412.05488586426,4700,1,0.30000000000000004,87795.83818054199,4700,1,0.30000000000000004,84465.34245300293,4700,1,0.30000000000000004,79509.34060668945,4700,1,0.30000000000000004,77805.38320922852,4700,1,0.30000000000000004,80846.50866699219,4700,1,0.30000000000000004,77232.93510437012,4700,1,0.30000000000000004,82450.15010070801,4700,1,0.30000000000000004,70509.13917541504,4700,1,0.30000000000000004,72583.4598236084,4700,1,0.30000000000000004,76303.02369689941,4700,1,0.30000000000000004,22670183.173583984,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,0,0,0,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480517120,2147479552,22796075008,0
99,1710268041542,227597.5637512207,4700,1,0.30000000000000004,77412.05647277832,4700,1,0.30000000000000004,87795.83966064453,4700,1,0.30000000000000004,84465.3441619873,4700,1,0.30000000000000004,79509.34223937988,4700,1,0.30000000000000004,77805.39326477051,4700,1,0.30000000000000004,80846.51028442383,4700,1,0.30000000000000004,77232.93658447266,4700,1,0.30000000000000004,82450.1517944336,4700,1,0.30000000000000004,70509.14936828613,4700,1,0.30000000000000004,72583.4610748291,4700,1,0.30000000000000004,76303.0251159668,4700,1,0.30000000000000004,22670183.261917114,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,0,0,0,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480517120,2147479552,22796591104,0
98,1710268041643,227597.72380065918,4700,1,0.30000000000000004,77412.1614074707,4700,1,0.30000000000000004,87795.95666503906,4700,1,0.30000000000000004,84465.42401123047,4700,1,0.30000000000000004,79509.4436340332,4700,1,0.30000000000000004,77805.62571716309,4700,1,0.30000000000000004,80846.59371948242,4700,1,0.30000000000000004,77232.99626159668,4700,1,0.30000000000000004,82450.30374145508,4700,1,0.30000000000000004,70509.26635742188,4700,1,0.30000000000000004,72583.50712585449,4700,1,0.30000000000000004,76303.12573242188,4700,1,0.30000000000000004,22670187.586242676,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,0,0,0,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480517120,2147479552,22817488896,0
99,1710268041742,227597.86318969727,4700,1,0.30000000000000004,77412.23182678223,4700,1,0.30000000000000004,87796.07426452637,4700,1,0.30000000000000004,84465.46478271484,4700,1,0.30000000000000004,79509.52026367188,4700,1,0.30000000000000004,77805.69038391113,4700,1,0.30000000000000004,80846.64515686035,4700,1,0.30000000000000004,77233.03434753418,4700,1,0.30000000000000004,82450.3341217041,4700,1,0.30000000000000004,70509.35083007813,4700,1,0.30000000000000004,72583.53852844238,4700,1,0.30000000000000004,76303.16862487793,4700,1,0.30000000000000004,22670191.419174194,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,10.526315689086914,4.761904716491699,0,0,5,4.761904716491699,0,15.000000953674316,0,0,0,0,9.090909004211426,0,0,0,5.263157844543457,5,4.761904716491699,0,9.523809432983398,10,0,4.761904716491699,66480517120,2147479552,22816972800,0
99,1710268041842,227597.90782165527,4700,1,0.30000000000000004,77412.27815246582,4700,1,0.30000000000000004,87796.11015319824,4700,1,0.30000000000000004,84465.4940032959,4700,1,0.30000000000000004,79509.56565856934,4700,1,0.30000000000000004,77805.7943572998,4700,1,0.30000000000000004,80846.68006896973,4700,1,0.30000000000000004,77233.06883239746,4700,1,0.30000000000000004,82450.35731506348,4700,1,0.30000000000000004,70509.70571899414,4700,1,0.30000000000000004,72583.5697631836,4700,1,0.30000000000000004,76303.19714355469,4700,1,0.30000000000000004,22670195.437469482,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,10.526315689086914,4.761904716491699,0,0,5,4.761904716491699,0,15.000000953674316,0,0,0,0,9.090909004211426,0,0,0,5.263157844543457,5,4.761904716491699,0,9.523809432983398,10,0,4.761904716491699,66480517120,2147479552,22821089280,0
99,1710268041942,227598.0150604248,4700,1,0.30000000000000004,77412.27993774414,4700,1,0.30000000000000004,87796.11201477051,4700,1,0.30000000000000004,84465.49890136719,4700,1,0.30000000000000004,79509.57049560547,4700,1,0.30000000000000004,77805.81497192383,4700,1,0.30000000000000004,80846.68406677246,4700,1,0.30000000000000004,77233.07305908203,4700,1,0.30000000000000004,82450.35932922363,4700,1,0.30000000000000004,70510.16041564941,4700,1,0.30000000000000004,72583.57264709473,4700,1,0.30000000000000004,76303.19903564453,4700,1,0.30000000000000004,22670199.28677368,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,4.761904716491699,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,85,0,0,66480517120,2147479552,22821605376,0
99,1710268042042,227598.1249847412,4700,1,0.30000000000000004,77412.28176879883,4700,1,0.30000000000000004,87796.11437988281,4700,1,0.30000000000000004,84465.50294494629,4700,1,0.30000000000000004,79509.5747680664,4700,1,0.30000000000000004,77805.83264160156,4700,1,0.30000000000000004,80846.68797302246,4700,1,0.30000000000000004,77233.07643127441,4700,1,0.30000000000000004,82450.36151123047,4700,1,0.30000000000000004,70510.61932373047,4700,1,0.30000000000000004,72583.57580566406,4700,1,0.30000000000000004,76303.20225524902,4700,1,0.30000000000000004,22670203.13772583,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,4.761904716491699,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,85,0,0,66480517120,2147479552,22821605376,0
99,1710268042142,227598.23651123047,4700,1,0.30000000000000004,77412.28388977051,4700,1,0.30000000000000004,87796.11741638184,4700,1,0.30000000000000004,84465.50692749023,4700,1,0.30000000000000004,79509.57827758789,4700,1,0.30000000000000004,77805.84945678711,4700,1,0.30000000000000004,80846.69172668457,4700,1,0.30000000000000004,77233.07984924316,4700,1,0.30000000000000004,82450.3639831543,4700,1,0.30000000000000004,70511.07878112793,4700,1,0.30000000000000004,72583.5776977539,4700,1,0.30000000000000004,76303.20625305176,4700,1,0.30000000000000004,22670207.07901001,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,66480517120,2147479552,22821605376,0
99,1710268042242,227598.3475341797,4700,1,0.30000000000000004,77412.28623962402,4700,1,0.30000000000000004,87796.12022399902,4700,1,0.30000000000000004,84465.51039123535,4700,1,0.30000000000000004,79509.58184814453,4700,1,0.30000000000000004,77805.8639831543,4700,1,0.30000000000000004,80846.69570922852,4700,1,0.30000000000000004,77233.08332824707,4700,1,0.30000000000000004,82450.3663482666,4700,1,0.30000000000000004,70511.53814697266,4700,1,0.30000000000000004,72583.58006286621,4700,1,0.30000000000000004,76303.20846557617,4700,1,0.30000000000000004,22670211.021194458,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,66480517120,2147479552,22822121472,0
99,1710268042342,227598.4467010498,4700,1,0.30000000000000004,77412.30325317383,4700,1,0.30000000000000004,87796.12231445313,4700,1,0.30000000000000004,84465.53002929688,4700,1,0.30000000000000004,79509.58518981934,4700,1,0.30000000000000004,77805.89053344727,4700,1,0.30000000000000004,80846.69970703125,4700,1,0.30000000000000004,77233.08689880371,4700,1,0.30000000000000004,82450.36817932129,4700,1,0.30000000000000004,70511.99812316895,4700,1,0.30000000000000004,72583.58256530762,4700,1,0.30000000000000004,76303.21058654785,4700,1,0.30000000000000004,22670214.915512085,4690,4690,400,4690,400,400,400,400,400,400,400,400,4690,4691,400,400,400,400,400,400,4690,4690,4690,400,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,66480517120,2147479552,22822121472,0
