Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1705187722181,490384.6244812012,4700,1,0.30000000000000004,381579.4330444336,4700,1,0.30000000000000004,376106.51121520996,4700,1,0.30000000000000004,423957.0892486572,4700,1,0.30000000000000004,417225.24922180176,4700,1,0.30000000000000004,399882.6475982666,4700,1,0.30000000000000004,383080.179397583,4700,1,0.30000000000000004,399211.798248291,4700,1,0.30000000000000004,533690.5834350586,4700,1,0.30000000000000004,433922.7908477783,4700,1,0.30000000000000004,390882.5597381592,4700,1,0.30000000000000004,392052.02868652344,4700,1,0.30000000000000004,147704620.81227112,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,0,0,0,0,0,0,0,0,0,0,3.3333334922790527,0,0,0,0,0,3.4482758045196533,0,0,3.3333334922790527,0,0,0,0,66481061888,2147479552,34268729344,0
99,1705187722182,490384.6349182129,4700,1,0.30000000000000004,381579.4345855713,4700,1,0.30000000000000004,376106.5208129883,4700,1,0.30000000000000004,423957.09077453613,4700,1,0.30000000000000004,417225.2515563965,4700,1,0.30000000000000004,399882.6490325928,4700,1,0.30000000000000004,383080.1806945801,4700,1,0.30000000000000004,399211.8001861572,4700,1,0.30000000000000004,533690.5851745605,4700,1,0.30000000000000004,433922.7923736572,4700,1,0.30000000000000004,390882.5612792969,4700,1,0.30000000000000004,392052.0305328369,4700,1,0.30000000000000004,147704620.91253662,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,0,0,0,0,0,0,0,0,0,0,3.3333334922790527,0,0,0,0,0,3.4482758045196533,0,0,3.3333334922790527,0,0,0,0,66481061888,2147479552,34269761536,0
99,1705187722282,490384.7648010254,4700,1,0.30000000000000004,381579.5163574219,4700,1,0.30000000000000004,376106.65673828125,4700,1,0.30000000000000004,423957.23121643066,4700,1,0.30000000000000004,417225.40129089355,4700,1,0.30000000000000004,399882.7286224365,4700,1,0.30000000000000004,383080.29988098145,4700,1,0.30000000000000004,399211.9207305908,4700,1,0.30000000000000004,533690.8307189941,4700,1,0.30000000000000004,433922.90689086914,4700,1,0.30000000000000004,390882.65350341797,4700,1,0.30000000000000004,392052.1295928955,4700,1,0.30000000000000004,147704625.24719238,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,0,0,0,0,0,0,0,0,0,0,3.3333334922790527,0,0,0,0,0,3.4482758045196533,0,0,3.3333334922790527,0,0,0,0,66481061888,2147479552,34285342720,0
99,1705187722382,490384.7745361328,4700,1,0.30000000000000004,381579.5531921387,4700,1,0.30000000000000004,376106.71200561523,4700,1,0.30000000000000004,423957.2652130127,4700,1,0.30000000000000004,417225.4302825928,4700,1,0.30000000000000004,399882.8225097656,4700,1,0.30000000000000004,383080.3463897705,4700,1,0.30000000000000004,399211.9711303711,4700,1,0.30000000000000004,533690.8717651367,4700,1,0.30000000000000004,433922.97595214844,4700,1,0.30000000000000004,390882.6939239502,4700,1,0.30000000000000004,392052.157119751,4700,1,0.30000000000000004,147704628.60525513,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,13.636363983154297,5,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,0,0,10.526315689086914,5,5,4.761904716491699,0,0,5.263157844543457,5.263157844543457,0,0,9.523809432983398,4.761904716491699,0,9.090909004211426,66481061888,2147479552,34287120384,0
99,1705187722482,490384.81143188477,4700,1,0.3062499999999999,381579.60481262207,4700,1,0.30000000000000004,376106.7562408447,4700,1,0.30000000000000004,423957.27418518066,4700,1,0.3062499999999999,417225.4557952881,4700,1,0.3062499999999999,399882.9133758545,4700,1,0.3062499999999999,383080.3897705078,4700,1,0.3062499999999999,399212.0640258789,4700,1,0.3062499999999999,533690.9242401123,4700,1,0.30000000000000004,433923.0153503418,4700,1,0.30000000000000004,390882.7703399658,4700,1,0.30000000000000004,392052.1707305908,4700,1,0.30000000000000004,147704632.22851563,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,13.636363983154297,5,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,0,0,10.526315689086914,5,5,4.761904716491699,0,0,5.263157844543457,5.263157844543457,0,0,9.523809432983398,4.761904716491699,0,9.090909004211426,66481061888,2147479552,34289389568,0
99,1705187722582,490384.92889404297,4700,1,0.30000000000000004,381580.0335845947,4700,1,0.30000000000000004,376106.93927001953,4700,1,0.30000000000000004,423957.4006500244,4700,1,0.30000000000000004,417225.5796966553,4700,1,0.30000000000000004,399883.04261779785,4700,1,0.30000000000000004,383080.52044677734,4700,1,0.30000000000000004,399212.237991333,4700,1,0.30000000000000004,533691.0935821533,4700,1,0.30000000000000004,433923.1371307373,4700,1,0.30000000000000004,390882.94429016113,4700,1,0.30000000000000004,392052.31021118164,4700,1,0.30000000000000004,147704637.30859375,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,4.761904716491699,4.761904716491699,15.000000953674316,0,0,4.545454502105713,0,0,0,4.761904716491699,10,0,5,5,0,40,9.523809432983398,9.523809432983398,5,9.523809432983398,4.761904716491699,0,4.761904716491699,5,66481061888,2147479552,34297507840,0
99,1705187722682,490385.04376220703,4700,1,0.30000000000000004,381580.47244262695,4700,1,0.30000000000000004,376107.05268859863,4700,1,0.30000000000000004,423957.58319091797,4700,1,0.30000000000000004,417225.6954193115,4700,1,0.30000000000000004,399883.17402648926,4700,1,0.30000000000000004,383080.64109802246,4700,1,0.30000000000000004,399212.36056518555,4700,1,0.30000000000000004,533691.2088012695,4700,1,0.30000000000000004,433923.2441558838,4700,1,0.30000000000000004,390883.052444458,4700,1,0.30000000000000004,392052.5065307617,4700,1,0.30000000000000004,147704642.37771606,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,4.761904716491699,4.761904716491699,15.000000953674316,0,0,4.545454502105713,0,0,0,4.761904716491699,10,0,5,5,0,40,9.523809432983398,9.523809432983398,5,9.523809432983398,4.761904716491699,0,4.761904716491699,5,66481061888,2147479552,34304114688,0
99,1705187722782,490385.1812438965,4700,1,0.30000000000000004,381580.9229888916,4700,1,0.30000000000000004,376107.2406616211,4700,1,0.30000000000000004,423957.7833709717,4700,1,0.30000000000000004,417225.8461303711,4700,1,0.30000000000000004,399883.29695129395,4700,1,0.30000000000000004,383080.77279663086,4700,1,0.30000000000000004,399212.57527160645,4700,1,0.30000000000000004,533691.3767089844,4700,1,0.30000000000000004,433923.36328125,4700,1,0.30000000000000004,390883.1801452637,4700,1,0.30000000000000004,392052.7035827637,4700,1,0.30000000000000004,147704647.6131134,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,0,15.789472579956055,4.761904716491699,9.523809432983398,5,0,5,5,0,10,10,4.761904716491699,0,5,15.000000953674316,94.73684692382813,5,5,0,5.263157844543457,5,5.263157844543457,9.523809432983398,10.526315689086914,66481061888,2147479552,34310033408,0
99,1705187722882,490385.32664489746,4700,1,0.30000000000000004,381581.371963501,4700,1,0.30000000000000004,376107.4164581299,4700,1,0.30000000000000004,423957.9450531006,4700,1,0.30000000000000004,417226.0767059326,4700,1,0.30000000000000004,399883.45820617676,4700,1,0.30000000000000004,383080.9162750244,4700,1,0.30000000000000004,399212.76846313477,4700,1,0.30000000000000004,533691.5900726318,4700,1,0.30000000000000004,433923.4946899414,4700,1,0.30000000000000004,390883.3283843994,4700,1,0.30000000000000004,392052.8702850342,4700,1,0.30000000000000004,147704652.8865509,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,0,15.789472579956055,4.761904716491699,9.523809432983398,5,0,5,5,0,10,10,4.761904716491699,0,5,15.000000953674316,94.73684692382813,5,5,0,5.263157844543457,5,5.263157844543457,9.523809432983398,10.526315689086914,66481061888,2147479552,34309746688,0
99,1705187722982,490385.42626953125,4700,1,0.30000000000000004,381581.80978393555,4700,1,0.30000000000000004,376107.52252197266,4700,1,0.30000000000000004,423958.0383300781,4700,1,0.30000000000000004,417226.19874572754,4700,1,0.30000000000000004,399883.57246398926,4700,1,0.30000000000000004,383081.00144958496,4700,1,0.30000000000000004,399212.8753051758,4700,1,0.30000000000000004,533691.7200012207,4700,1,0.30000000000000004,433923.59242248535,4700,1,0.30000000000000004,390883.39515686035,4700,1,0.30000000000000004,392053.0110321045,4700,1,0.30000000000000004,147704657.49873352,3000,4690,3000,3000,3000,3000,3000,4700,4691,3000,4690,3000,4690,3000,3000,4690,4690,4691,3000,4690,3000,4700,3000,3000,5,5,0,5,5,5,10,5,5,5,10,0,10,9.523809432983398,10,90.47618865966797,10.526315689086914,5.263157844543457,5,9.523809432983398,5,0,0,0,66481061888,2147479552,34313318400,0
