Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1707943699166,1192932.932510376,4700,1,0.30000000000000004,853962.2175750732,4700,1,0.30000000000000004,860169.5388336182,4700,1,0.30000000000000004,933166.4841918945,4700,1,0.30000000000000004,915848.105178833,4700,1,0.30000000000000004,904964.3409729004,4700,1,0.30000000000000004,878539.2919311523,4700,1,0.30000000000000004,911725.7023925781,4700,1,0.30000000000000004,1065934.9459381104,4700,1,0.30000000000000004,925997.6857757568,4700,1,0.30000000000000004,858309.0556640625,4700,1,0.30000000000000004,859230.8900604248,4700,1,0.30000000000000004,206838883.3728485,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,4.545454502105713,0,0,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,9.090909004211426,0,0,0,0,0,0,0,66481061888,2147479552,36763004928,382976000
99,1707943699166,1192932.93409729,4700,1,0.30000000000000004,853962.2184448242,4700,1,0.30000000000000004,860169.5481719971,4700,1,0.30000000000000004,933166.4858093262,4700,1,0.30000000000000004,915848.1064300537,4700,1,0.30000000000000004,904964.3512115479,4700,1,0.30000000000000004,878539.2931365967,4700,1,0.30000000000000004,911725.7035980225,4700,1,0.30000000000000004,1065934.9468841553,4700,1,0.30000000000000004,925997.6867828369,4700,1,0.30000000000000004,858309.0575408936,4700,1,0.30000000000000004,859230.8909301758,4700,1,0.30000000000000004,206838883.46009827,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,4.545454502105713,0,0,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,9.090909004211426,0,0,0,0,0,0,0,66481061888,2147479552,36765585408,382976000
99,1707943699267,1192933.039932251,4700,1,0.29374999999999996,853962.3743591309,4700,1,0.29374999999999996,860169.6442260742,4700,1,0.29374999999999996,933166.6213989258,4700,1,0.29374999999999996,915848.2621765137,4700,1,0.29374999999999996,904964.5396270752,4700,1,0.29374999999999996,878539.4154205322,4700,1,0.29374999999999996,911725.8129119873,4700,1,0.29374999999999996,1065935.046081543,4700,1,0.29374999999999996,925997.7573852539,4700,1,0.29374999999999996,858309.1236724854,4700,1,0.29374999999999996,859231.0812988281,4700,1,0.29374999999999996,206838887.8627777,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,4.545454502105713,0,0,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,9.090909004211426,0,0,0,0,0,0,0,66481061888,2147479552,36785565696,382976000
99,1707943699367,1192933.094985962,4700,1,0.30000000000000004,853962.4576416016,4700,1,0.30000000000000004,860169.7258453369,4700,1,0.30000000000000004,933166.6842956543,4700,1,0.30000000000000004,915848.3380126953,4700,1,0.30000000000000004,904964.6193237305,4700,1,0.30000000000000004,878539.4869232178,4700,1,0.30000000000000004,911725.8695373535,4700,1,0.30000000000000004,1065935.132598877,4700,1,0.30000000000000004,925997.8126220703,4700,1,0.30000000000000004,858309.2168273926,4700,1,0.30000000000000004,859231.1332855225,4700,1,0.30000000000000004,206838891.46609497,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,4.761904716491699,0,5,0,0,0,4.761904716491699,0,0,0,0,0,0,5,10,0,0,9.523809432983398,0,0,0,0,0,4.761904716491699,66481061888,2147479552,36791115776,382976000
99,1707943699467,1192933.2740631104,4700,1,0.3062499999999999,853962.5910491943,4700,1,0.3062499999999999,860169.8824462891,4700,1,0.3062499999999999,933166.8079986572,4700,1,0.3062499999999999,915848.4659729004,4700,1,0.3062499999999999,904964.7357177734,4700,1,0.3062499999999999,878539.815032959,4700,1,0.3062499999999999,911725.9986419678,4700,1,0.3062499999999999,1065935.3171691895,4700,1,0.3062499999999999,925997.9502410889,4700,1,0.3062499999999999,858309.3397979736,4700,1,0.3062499999999999,859231.2703857422,4700,1,0.3062499999999999,206838896.33407593,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,4.761904716491699,0,5,0,0,0,4.761904716491699,0,0,0,0,0,0,5,10,0,0,9.523809432983398,0,0,0,0,0,4.761904716491699,66481061888,2147479552,36791791616,382976000
99,1707943699567,1192933.3291473389,4700,1,0.30000000000000004,853962.6892700195,4700,1,0.30000000000000004,860170.0057373047,4700,1,0.30000000000000004,933166.859664917,4700,1,0.30000000000000004,915848.567565918,4700,1,0.30000000000000004,904964.7937164307,4700,1,0.30000000000000004,878540.2870178223,4700,1,0.30000000000000004,911726.0601806641,4700,1,0.30000000000000004,1065935.4223632813,4700,1,0.30000000000000004,925998.0452728271,4700,1,0.30000000000000004,858309.4423675537,4700,1,0.30000000000000004,859231.4063568115,4700,1,0.30000000000000004,206838900.86637878,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,5,0,5,10,10,5,5,4.761904716491699,55,0,5.263157844543457,4.761904716491699,0,5,0,9.523809432983398,13.636363983154297,0,21.052631378173828,5,10,0,9.523809432983398,5.263157844543457,66481061888,2147479552,36792930304,382976000
99,1707943699667,1192933.3619689941,4700,1,0.30000000000000004,853962.7846679688,4700,1,0.30000000000000004,860170.099029541,4700,1,0.30000000000000004,933166.8885498047,4700,1,0.30000000000000004,915848.6031036377,4700,1,0.30000000000000004,904964.8248748779,4700,1,0.30000000000000004,878540.7275695801,4700,1,0.30000000000000004,911726.1923828125,4700,1,0.30000000000000004,1065935.5056762695,4700,1,0.30000000000000004,925998.1599121094,4700,1,0.30000000000000004,858309.5085296631,4700,1,0.30000000000000004,859231.5072631836,4700,1,0.30000000000000004,206838905.26312256,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,5,0,5,10,10,5,5,4.761904716491699,55,0,5.263157844543457,4.761904716491699,0,5,0,9.523809432983398,13.636363983154297,0,21.052631378173828,5,10,0,9.523809432983398,5.263157844543457,66481061888,2147479552,36794445824,382976000
99,1707943699767,1192933.5407714844,4700,1,0.3062499999999999,853962.9494171143,4700,1,0.30000000000000004,860170.2454528809,4700,1,0.30000000000000004,933167.03855896,4700,1,0.3062499999999999,915848.75390625,4700,1,0.3062499999999999,904964.9181671143,4700,1,0.3062499999999999,878541.2094421387,4700,1,0.3062499999999999,911726.372177124,4700,1,0.3062499999999999,1065935.7123413086,4700,1,0.3062499999999999,925998.3637390137,4700,1,0.3062499999999999,858309.6579742432,4700,1,0.3062499999999999,859231.7256011963,4700,1,0.30000000000000004,206838910.55221558,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,4.761904716491699,9.523809432983398,5,5,5,4.761904716491699,0,0,94.44444274902344,5,18.18181800842285,5.263157844543457,4.761904716491699,5,9.523809432983398,5,5,0,9.523809432983398,0,0,10.526315689086914,5,10.526315689086914,66481061888,2147479552,36796125184,382976000
99,1707943699867,1192933.732849121,4700,1,0.30000000000000004,853963.1089477539,4700,1,0.30000000000000004,860170.3822631836,4700,1,0.30000000000000004,933167.1583099365,4700,1,0.30000000000000004,915848.8708648682,4700,1,0.30000000000000004,904965.0131378174,4700,1,0.30000000000000004,878541.70652771,4700,1,0.30000000000000004,911726.4968261719,4700,1,0.30000000000000004,1065935.8652038574,4700,1,0.30000000000000004,925998.5359802246,4700,1,0.30000000000000004,858309.8149719238,4700,1,0.30000000000000004,859231.9208831787,4700,1,0.30000000000000004,206838915.68824768,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,4.761904716491699,9.523809432983398,5,5,5,4.761904716491699,0,0,94.44444274902344,5,18.18181800842285,5.263157844543457,4.761904716491699,5,9.523809432983398,5,5,0,9.523809432983398,0,0,10.526315689086914,5,10.526315689086914,66481061888,2147479552,36800245760,382976000
99,1707943699967,1192933.898071289,4700,1,0.30000000000000004,853963.2174224854,4700,1,0.30000000000000004,860170.5034637451,4700,1,0.30000000000000004,933167.2428588867,4700,1,0.30000000000000004,915848.9286651611,4700,1,0.30000000000000004,904965.0491333008,4700,1,0.30000000000000004,878542.1526184082,4700,1,0.30000000000000004,911726.5772094727,4700,1,0.30000000000000004,1065935.948791504,4700,1,0.30000000000000004,925998.6299591064,4700,1,0.30000000000000004,858309.9100036621,4700,1,0.30000000000000004,859232.0335083008,4700,1,0.30000000000000004,206838920.21559143,4690,4690,3000,3000,3000,3000,4690,3000,3000,3000,4700,4691,3000,4690,4690,4690,4690,4691,4700,3000,4690,4700,4700,3000,5,0,0,10,10.526315689086914,0,5,0,90.47618865966797,4.761904716491699,9.523809432983398,5,0,5,19.047618865966797,5,0,9.523809432983398,10,0,0,10,10,4.761904716491699,66481061888,2147479552,36803313664,382976000
