Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721138404642,2567420.674682617,4700,1,0.30000000000000004,1236522.143875122,4700,1,0.30000000000000004,1708811.4748840332,4700,1,0.30000000000000004,1353897.8267211914,4700,1,0.30000000000000004,1355279.6777496338,4700,1,0.30000000000000004,1362775.0599975586,4700,1,0.30000000000000004,1375751.5805206299,4700,1,0.30000000000000004,1451236.003616333,4700,1,0.30000000000000004,1665487.8433532715,4700,1,0.30000000000000004,1174722.8488769531,4700,1,0.30000000000000004,1165093.730102539,4700,1,0.30000000000000004,1231472.254623413,4700,1,0.30000000000000004,196622848.5488739,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,3.5714287757873535,3.4482758045196533,0,0,0,0,0,0,3.7037036418914795,0,100,0,7.407407283782959,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,39320731648,0
99,1721138404643,2567420.677154541,4700,1,0.30000000000000004,1236522.1461486816,4700,1,0.3062499999999999,1708811.4765625,4700,1,0.3062499999999999,1353897.8277130127,4700,1,0.30000000000000004,1355279.692779541,4700,1,0.30000000000000004,1362775.0619354248,4700,1,0.30000000000000004,1375751.582183838,4700,1,0.30000000000000004,1451236.0154266357,4700,1,0.30000000000000004,1665487.8576812744,4700,1,0.30000000000000004,1174722.8505401611,4700,1,0.3062499999999999,1165093.7315979004,4700,1,0.3062499999999999,1231472.255996704,4700,1,0.3062499999999999,196622848.65034485,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,3.5714287757873535,3.4482758045196533,0,0,0,0,0,0,3.7037036418914795,0,100,0,7.407407283782959,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,39323283456,0
99,1721138404743,2567420.8913726807,4700,1,0.30000000000000004,1236522.2973175049,4700,1,0.3062499999999999,1708811.628326416,4700,1,0.3062499999999999,1353897.931060791,4700,1,0.30000000000000004,1355279.822265625,4700,1,0.30000000000000004,1362775.208770752,4700,1,0.30000000000000004,1375751.7395019531,4700,1,0.30000000000000004,1451236.2046203613,4700,1,0.30000000000000004,1665488.3564605713,4700,1,0.30000000000000004,1174722.9742889404,4700,1,0.3062499999999999,1165093.8777770996,4700,1,0.3062499999999999,1231472.3665008545,4700,1,0.3062499999999999,196622853.68589783,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,3.5714287757873535,3.4482758045196533,0,0,0,0,0,0,3.7037036418914795,0,100,0,7.407407283782959,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,39344574464,0
99,1721138404843,2567421.0075683594,4700,1,0.30000000000000004,1236522.3712005615,4700,1,0.30000000000000004,1708811.697402954,4700,1,0.30000000000000004,1353897.9920959473,4700,1,0.30000000000000004,1355279.9016113281,4700,1,0.30000000000000004,1362775.2676086426,4700,1,0.30000000000000004,1375751.8034667969,4700,1,0.30000000000000004,1451236.3434448242,4700,1,0.30000000000000004,1665488.831451416,4700,1,0.30000000000000004,1174723.094177246,4700,1,0.30000000000000004,1165093.9526519775,4700,1,0.30000000000000004,1231472.4420318604,4700,1,0.30000000000000004,196622858.13034058,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,10,0,4.761904716491699,9.523809432983398,5,0,5.263157844543457,4.761904716491699,0,19.047618865966797,100,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,5,5,0,9.523809432983398,4.761904716491699,0,0,66480525312,2147479552,39348187136,0
99,1721138404943,2567421.15473938,4700,1,0.3062499999999999,1236522.4933776855,4700,1,0.3062499999999999,1708811.8367004395,4700,1,0.3062499999999999,1353898.126235962,4700,1,0.3062499999999999,1355280.0406799316,4700,1,0.3062499999999999,1362775.3684387207,4700,1,0.3062499999999999,1375751.9285736084,4700,1,0.3062499999999999,1451236.547668457,4700,1,0.3062499999999999,1665489.317779541,4700,1,0.3062499999999999,1174723.260192871,4700,1,0.3062499999999999,1165094.0799560547,4700,1,0.3062499999999999,1231472.604232788,4700,1,0.3062499999999999,196622863.15960693,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,10,0,4.761904716491699,9.523809432983398,5,0,5.263157844543457,4.761904716491699,0,19.047618865966797,100,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,5,5,0,9.523809432983398,4.761904716491699,0,0,66480525312,2147479552,39350775808,0
99,1721138405043,2567421.322250366,4700,1,0.31874999999999987,1236522.5785827637,4700,1,0.31874999999999987,1708811.9349365234,4700,1,0.31874999999999987,1353898.154159546,4700,1,0.31874999999999987,1355280.1497192383,4700,1,0.31874999999999987,1362775.4408416748,4700,1,0.31874999999999987,1375751.9907531738,4700,1,0.31874999999999987,1451236.6031188965,4700,1,0.31874999999999987,1665489.76953125,4700,1,0.31874999999999987,1174723.3607330322,4700,1,0.31874999999999987,1165094.1734466553,4700,1,0.31874999999999987,1231472.7334136963,4700,1,0.31874999999999987,196622867.93919373,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,4.761904716491699,9.523809432983398,5,5,15.789472579956055,5,9.090909004211426,5,0,5.555555820465088,90.47618865966797,5,5,0,4.761904716491699,0,0,0,9.523809432983398,0,10.526315689086914,5.555555820465088,0,10,66480525312,2147479552,39351484416,0
99,1721138405143,2567421.4943237305,4700,1,0.30000000000000004,1236522.6465301514,4700,1,0.30000000000000004,1708812.0296936035,4700,1,0.30000000000000004,1353898.2882843018,4700,1,0.30000000000000004,1355280.265625,4700,1,0.30000000000000004,1362775.52003479,4700,1,0.30000000000000004,1375752.0614624023,4700,1,0.30000000000000004,1451236.6732330322,4700,1,0.30000000000000004,1665490.2151184082,4700,1,0.30000000000000004,1174723.5176239014,4700,1,0.30000000000000004,1165094.2538604736,4700,1,0.30000000000000004,1231472.8549194336,4700,1,0.30000000000000004,196622872.497818,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,4.761904716491699,9.523809432983398,5,5,15.789472579956055,5,9.090909004211426,5,0,5.555555820465088,90.47618865966797,5,5,0,4.761904716491699,0,0,0,9.523809432983398,0,10.526315689086914,5.555555820465088,0,10,66480525312,2147479552,39352225792,0
99,1721138405243,2567421.661605835,4700,1,0.3062499999999999,1236522.7100219727,4700,1,0.3062499999999999,1708812.1361999512,4700,1,0.3062499999999999,1353898.4322509766,4700,1,0.3062499999999999,1355280.3843841553,4700,1,0.3062499999999999,1362775.5957946777,4700,1,0.3062499999999999,1375752.1405792236,4700,1,0.3062499999999999,1451236.7409210205,4700,1,0.3062499999999999,1665490.685836792,4700,1,0.3062499999999999,1174723.6898345947,4700,1,0.3062499999999999,1165094.3315734863,4700,1,0.3062499999999999,1231472.9677886963,4700,1,0.3062499999999999,196622877.28790283,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,4.761904716491699,9.523809432983398,5,5,15.789472579956055,5,9.090909004211426,5,0,5.555555820465088,90.47618865966797,5,5,0,4.761904716491699,0,0,0,9.523809432983398,0,10.526315689086914,5.555555820465088,0,10,66480525312,2147479552,39353171968,0
99,1721138405343,2567421.79826355,4700,1,0.3062499999999999,1236522.8150024414,4700,1,0.3062499999999999,1708812.2412872314,4700,1,0.3062499999999999,1353898.5267028809,4700,1,0.3062499999999999,1355280.5321655273,4700,1,0.3062499999999999,1362775.8755950928,4700,1,0.3062499999999999,1375752.235168457,4700,1,0.3062499999999999,1451236.8499450684,4700,1,0.3062499999999999,1665491.1382141113,4700,1,0.3062499999999999,1174723.8542175293,4700,1,0.3062499999999999,1165094.442062378,4700,1,0.3062499999999999,1231473.1194000244,4700,1,0.3062499999999999,196622882.25134277,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,0,10,0,0,20,10,5,0,0,0,100,0,0,0,0,5,0,5,0,0,10,14.285715103149414,0,5.263157844543457,66480525312,2147479552,39354433536,0
99,1721138405443,2567421.9828796387,4700,1,0.30000000000000004,1236522.9712371826,4700,1,0.30000000000000004,1708812.3907318115,4700,1,0.30000000000000004,1353898.7228240967,4700,1,0.30000000000000004,1355280.7028198242,4700,1,0.30000000000000004,1362776.0238952637,4700,1,0.30000000000000004,1375752.4057769775,4700,1,0.30000000000000004,1451237.0332641602,4700,1,0.30000000000000004,1665491.6418914795,4700,1,0.30000000000000004,1174724.044494629,4700,1,0.30000000000000004,1165094.6202697754,4700,1,0.30000000000000004,1231473.277557373,4700,1,0.30000000000000004,196622887.778656,4690,4690,400,400,400,400,400,4690,4690,400,4690,400,4690,400,400,400,400,400,400,400,400,4690,400,400,5,10.526315689086914,0,0,15.000000953674316,5.263157844543457,10,5.263157844543457,5,9.523809432983398,95,5,10,5,5,5,5.263157844543457,25,5,10,5.555555820465088,10,5,10,66480525312,2147479552,39441039360,0
