Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708000964222,1247084.519897461,4700,1,0.30000000000000004,871853.2712249756,4700,1,0.30000000000000004,877978.1947479248,4700,1,0.30000000000000004,955093.2202148438,4700,1,0.30000000000000004,937582.9866333008,4700,1,0.30000000000000004,925954.5800323486,4700,1,0.30000000000000004,899078.6263580322,4700,1,0.30000000000000004,932558.186126709,4700,1,0.30000000000000004,1092018.7185516357,4700,1,0.30000000000000004,944122.816329956,4700,1,0.30000000000000004,877202.144607544,4700,1,0.30000000000000004,876810.6967163086,4700,1,0.30000000000000004,208247900.68122864,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,3.4482758045196533,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,37215477760,382189568
99,1708000964223,1247084.5234069824,4700,1,0.30000000000000004,871853.2725830078,4700,1,0.30000000000000004,877978.1962280273,4700,1,0.30000000000000004,955093.234588623,4700,1,0.30000000000000004,937582.9881591797,4700,1,0.30000000000000004,925954.5814819336,4700,1,0.30000000000000004,899078.6277618408,4700,1,0.30000000000000004,932558.1876220703,4700,1,0.30000000000000004,1092018.719985962,4700,1,0.30000000000000004,944122.8177642822,4700,1,0.30000000000000004,877202.1544952393,4700,1,0.30000000000000004,876810.6980895996,4700,1,0.30000000000000004,208247900.7718048,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,3.4482758045196533,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,37217542144,382189568
99,1708000964323,1247084.6525115967,4700,1,0.29374999999999996,871853.3606262207,4700,1,0.29374999999999996,877978.3024291992,4700,1,0.29374999999999996,955093.4192047119,4700,1,0.29374999999999996,937583.1652984619,4700,1,0.29374999999999996,925954.7264099121,4700,1,0.29374999999999996,899078.7618865967,4700,1,0.29374999999999996,932558.3026275635,4700,1,0.29374999999999996,1092018.847442627,4700,1,0.29374999999999996,944122.9588928223,4700,1,0.29374999999999996,877202.306640625,4700,1,0.29374999999999996,876810.7810058594,4700,1,0.29374999999999996,208247905.17799377,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,3.4482758045196533,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,37236232192,382189568
99,1708000964423,1247084.7265014648,4700,1,0.30000000000000004,871853.4191436768,4700,1,0.30000000000000004,877978.3676452637,4700,1,0.30000000000000004,955093.53465271,4700,1,0.30000000000000004,937583.3189239502,4700,1,0.30000000000000004,925954.8902587891,4700,1,0.30000000000000004,899078.8613586426,4700,1,0.30000000000000004,932558.407913208,4700,1,0.30000000000000004,1092018.9177093506,4700,1,0.30000000000000004,944123.0587768555,4700,1,0.30000000000000004,877202.4524078369,4700,1,0.30000000000000004,876810.8444061279,4700,1,0.30000000000000004,208247909.31036377,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,0,0,0,0,4.761904716491699,5,5,10.526315689086914,4.761904716491699,5,0,13.636363983154297,5.263157844543457,4.761904716491699,0,0,0,0,0,5,5,5,10.526315689086914,0,66481061888,2147479552,37244858368,382189568
99,1708000964523,1247084.8637237549,4700,1,0.30000000000000004,871853.5277862549,4700,1,0.30000000000000004,877978.4636993408,4700,1,0.30000000000000004,955093.6860198975,4700,1,0.30000000000000004,937583.4889678955,4700,1,0.30000000000000004,925955.4020690918,4700,1,0.30000000000000004,899079.02734375,4700,1,0.30000000000000004,932558.5668029785,4700,1,0.30000000000000004,1092019.0507965088,4700,1,0.30000000000000004,944123.1100769043,4700,1,0.30000000000000004,877202.5910186768,4700,1,0.30000000000000004,876810.9643249512,4700,1,0.30000000000000004,208247914.32366943,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,0,0,0,0,4.761904716491699,5,5,10.526315689086914,4.761904716491699,5,0,13.636363983154297,5.263157844543457,4.761904716491699,0,0,0,0,0,5,5,5,10.526315689086914,0,66481061888,2147479552,37247873024,382189568
99,1708000964623,1247084.9658355713,4700,1,0.30000000000000004,871853.6013641357,4700,1,0.30000000000000004,877978.5237579346,4700,1,0.30000000000000004,955093.782989502,4700,1,0.30000000000000004,937583.5552368164,4700,1,0.30000000000000004,925955.8575286865,4700,1,0.30000000000000004,899079.1557159424,4700,1,0.30000000000000004,932558.6960449219,4700,1,0.30000000000000004,1092019.0930480957,4700,1,0.30000000000000004,944123.1211242676,4700,1,0.30000000000000004,877202.6577758789,4700,1,0.30000000000000004,876811.0687255859,4700,1,0.30000000000000004,208247918.7026062,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,5,0,5,5,5,10,0,95,0,5,0,0,9.523809432983398,0,15.000000953674316,4.761904716491699,0,5.263157844543457,5,5,9.523809432983398,0,4.761904716491699,0,66481061888,2147479552,37251149824,382189568
99,1708000964723,1247085.0892944336,4700,1,0.30000000000000004,871853.7282562256,4700,1,0.30000000000000004,877978.6453399658,4700,1,0.3062499999999999,955093.9040527344,4700,1,0.30000000000000004,937583.6957855225,4700,1,0.30000000000000004,925956.3657989502,4700,1,0.30000000000000004,899079.2733001709,4700,1,0.30000000000000004,932558.832107544,4700,1,0.30000000000000004,1092019.2263031006,4700,1,0.30000000000000004,944123.2190551758,4700,1,0.30000000000000004,877202.7802124023,4700,1,0.30000000000000004,876811.1659698486,4700,1,0.30000000000000004,208247923.6337433,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,5,0,5,5,5,10,0,95,0,5,0,0,9.523809432983398,0,15.000000953674316,4.761904716491699,0,5.263157844543457,5,5,9.523809432983398,0,4.761904716491699,0,66481061888,2147479552,37252734976,382189568
99,1708000964823,1247085.227218628,4700,1,0.30000000000000004,871853.8594665527,4700,1,0.30000000000000004,877978.7578582764,4700,1,0.30000000000000004,955094.0123291016,4700,1,0.30000000000000004,937583.8134460449,4700,1,0.30000000000000004,925956.8188323975,4700,1,0.30000000000000004,899079.4347381592,4700,1,0.30000000000000004,932558.9478912354,4700,1,0.30000000000000004,1092019.3482818604,4700,1,0.30000000000000004,944123.2905578613,4700,1,0.30000000000000004,877202.8642578125,4700,1,0.30000000000000004,876811.2427215576,4700,1,0.30000000000000004,208247928.42059326,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,4.761904716491699,4.761904716491699,0,4.761904716491699,5,0,4.761904716491699,95.23809814453125,0,0,0,0,10,0,0,0,5,9.523809432983398,10.526315689086914,5,10.526315689086914,5,0,5,66481061888,2147479552,37250555904,382189568
99,1708000964923,1247085.3481292725,4700,1,0.30000000000000004,871853.9808349609,4700,1,0.30000000000000004,877978.8252716064,4700,1,0.30000000000000004,955094.1214141846,4700,1,0.30000000000000004,937583.8768005371,4700,1,0.30000000000000004,925957.3004302979,4700,1,0.30000000000000004,899079.5534820557,4700,1,0.30000000000000004,932559.0491485596,4700,1,0.30000000000000004,1092019.431060791,4700,1,0.30000000000000004,944123.3400421143,4700,1,0.30000000000000004,877202.941329956,4700,1,0.30000000000000004,876811.2959899902,4700,1,0.30000000000000004,208247932.93121338,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,4.761904716491699,4.761904716491699,0,4.761904716491699,5,0,4.761904716491699,95.23809814453125,0,0,0,0,10,0,0,0,5,9.523809432983398,10.526315689086914,5,10.526315689086914,5,0,5,66481061888,2147479552,37252030464,382189568
99,1708000965023,1247085.4824066162,4700,1,0.3062499999999999,871854.111038208,4700,1,0.3062499999999999,877978.9085845947,4700,1,0.3062499999999999,955094.2474517822,4700,1,0.3062499999999999,937584.0037841797,4700,1,0.3062499999999999,925957.8182220459,4700,1,0.3062499999999999,899079.6906433105,4700,1,0.3062499999999999,932559.1865081787,4700,1,0.3062499999999999,1092019.564819336,4700,1,0.3062499999999999,944123.4234924316,4700,1,0.3062499999999999,877203.0453033447,4700,1,0.3062499999999999,876811.3894042969,4700,1,0.3062499999999999,208247937.81985474,3000,4700,3000,3000,3000,3000,4690,4690,4700,3000,4690,4700,3000,3000,4690,4700,4690,3000,3000,3000,3000,3000,4700,3000,5,0,4.761904716491699,0,5,9.090909004211426,0,100,5,0,9.523809432983398,0,5,14.285715103149414,4.761904716491699,5,0,10,9.090909004211426,4.761904716491699,9.523809432983398,4.761904716491699,0,4.761904716491699,66481061888,2147479552,37255221248,382189568
