Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1705491830473,754357.7677459717,4700,1,0.30000000000000004,511145.1411590576,4700,1,0.30000000000000004,513764.1183319092,4700,1,0.30000000000000004,566630.8615722656,4700,1,0.30000000000000004,559886.012298584,4700,1,0.30000000000000004,539626.1492919922,4700,1,0.30000000000000004,522574.24728393555,4700,1,0.30000000000000004,541642.908203125,4700,1,0.30000000000000004,690483.3346405029,4700,1,0.30000000000000004,562358.0094909668,4700,1,0.30000000000000004,519431.65145874023,4700,1,0.30000000000000004,516858.9351654053,4700,1,0.30000000000000004,155570442.32510376,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,0,0,0,0,0,0,0,0,4.34782600402832,0,0,4.1666669845581055,0,0,0,0,0,0,4.34782600402832,0,0,0,0,0,66481061888,2147479552,38016344064,0
99,1705491830474,754357.7698669434,4700,1,0.30000000000000004,511145.14207458496,4700,1,0.30000000000000004,513764.12843322754,4700,1,0.30000000000000004,566630.8628540039,4700,1,0.30000000000000004,559886.0135803223,4700,1,0.30000000000000004,539626.150466919,4700,1,0.30000000000000004,522574.2572479248,4700,1,0.30000000000000004,541642.9094543457,4700,1,0.30000000000000004,690483.3356170654,4700,1,0.30000000000000004,562358.0104522705,4700,1,0.30000000000000004,519431.65229797363,4700,1,0.30000000000000004,516858.9360809326,4700,1,0.30000000000000004,155570442.40957642,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,0,0,0,0,0,0,0,0,4.34782600402832,0,0,4.1666669845581055,0,0,0,0,0,0,4.34782600402832,0,0,0,0,0,66481061888,2147479552,38019411968,0
99,1705491830575,754357.880569458,4700,1,0.29374999999999996,511145.2416381836,4700,1,0.29374999999999996,513764.25619506836,4700,1,0.30000000000000004,566630.9869384766,4700,1,0.29374999999999996,559886.1044769287,4700,1,0.29374999999999996,539626.2604827881,4700,1,0.29374999999999996,522574.4068145752,4700,1,0.29374999999999996,541643.1305847168,4700,1,0.29374999999999996,690483.4513702393,4700,1,0.29374999999999996,562358.0906066895,4700,1,0.29374999999999996,519431.7441101074,4700,1,0.29374999999999996,516859.07330322266,4700,1,0.29374999999999996,155570446.73506165,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,0,0,0,0,0,0,0,0,4.34782600402832,0,0,4.1666669845581055,0,0,0,0,0,0,4.34782600402832,0,0,0,0,0,66481061888,2147479552,38035845120,0
99,1705491830675,754357.9819488525,4700,1,0.30000000000000004,511145.31840515137,4700,1,0.30000000000000004,513764.34324645996,4700,1,0.30000000000000004,566631.0657501221,4700,1,0.30000000000000004,559886.1943206787,4700,1,0.30000000000000004,539626.3789672852,4700,1,0.30000000000000004,522574.52836608887,4700,1,0.30000000000000004,541643.3038482666,4700,1,0.30000000000000004,690483.5860443115,4700,1,0.30000000000000004,562358.1550445557,4700,1,0.30000000000000004,519431.8303375244,4700,1,0.30000000000000004,516859.1982727051,4700,1,0.30000000000000004,155570450.78279114,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,0,0,0,5,0,0,0,0,0,4.761904716491699,10,0,5,4.761904716491699,10,0,0,5,10,23.809524536132813,0,0,0,0,66481061888,2147479552,38046945280,0
99,1705491830775,754358.196105957,4700,1,0.30000000000000004,511145.49575805664,4700,1,0.30000000000000004,513764.4757537842,4700,1,0.30000000000000004,566631.2654876709,4700,1,0.30000000000000004,559886.3419494629,4700,1,0.30000000000000004,539626.5162658691,4700,1,0.30000000000000004,522574.66691589355,4700,1,0.30000000000000004,541643.473526001,4700,1,0.30000000000000004,690483.7447662354,4700,1,0.30000000000000004,562358.3226013184,4700,1,0.30000000000000004,519431.9985961914,4700,1,0.30000000000000004,516859.63606262207,4700,1,0.30000000000000004,155570456.04840088,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,0,0,0,5,0,0,0,0,0,4.761904716491699,10,0,5,4.761904716491699,10,0,0,5,10,23.809524536132813,0,0,0,0,66481061888,2147479552,38051434496,0
99,1705491830875,754358.4009094238,4700,1,0.30000000000000004,511145.6667022705,4700,1,0.30000000000000004,513764.5855560303,4700,1,0.30000000000000004,566631.4593658447,4700,1,0.30000000000000004,559886.4515380859,4700,1,0.30000000000000004,539626.6531219482,4700,1,0.30000000000000004,522574.80770874023,4700,1,0.30000000000000004,541643.603302002,4700,1,0.30000000000000004,690483.8689727783,4700,1,0.30000000000000004,562358.4909667969,4700,1,0.30000000000000004,519432.17935180664,4700,1,0.30000000000000004,516860.078994751,4700,1,0.30000000000000004,155570461.48388672,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,20,10.526315689086914,10,0,5,11.111111640930176,0,5,5,0,10,5.263157844543457,0,0,90,14.285715103149414,5,4.761904716491699,5,5,0,0,14.285715103149414,9.090909004211426,66481061888,2147479552,38055632896,0
99,1705491830975,754358.5303039551,4700,1,0.30000000000000004,511145.7953643799,4700,1,0.30000000000000004,513764.6809539795,4700,1,0.30000000000000004,566631.5718231201,4700,1,0.30000000000000004,559886.5659790039,4700,1,0.30000000000000004,539626.8018493652,4700,1,0.30000000000000004,522575.0328063965,4700,1,0.30000000000000004,541643.7213134766,4700,1,0.30000000000000004,690483.9906158447,4700,1,0.30000000000000004,562358.6747131348,4700,1,0.30000000000000004,519432.321975708,4700,1,0.30000000000000004,516860.5181427002,4700,1,0.30000000000000004,155570466.57357788,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,20,10.526315689086914,10,0,5,11.111111640930176,0,5,5,0,10,5.263157844543457,0,0,90,14.285715103149414,5,4.761904716491699,5,5,0,0,14.285715103149414,9.090909004211426,66481061888,2147479552,38050803712,0
99,1705491831075,754358.6329345703,4700,1,0.30000000000000004,511145.8649902344,4700,1,0.3062499999999999,513764.7270812988,4700,1,0.3062499999999999,566631.6734313965,4700,1,0.30000000000000004,559886.6455841064,4700,1,0.30000000000000004,539626.881729126,4700,1,0.30000000000000004,522575.1399383545,4700,1,0.30000000000000004,541643.8591156006,4700,1,0.30000000000000004,690484.0770874023,4700,1,0.3062499999999999,562358.7589111328,4700,1,0.3062499999999999,519432.3630218506,4700,1,0.3062499999999999,516860.97033691406,4700,1,0.3062499999999999,155570471.01037598,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,20,10.526315689086914,10,0,5,11.111111640930176,0,5,5,0,10,5.263157844543457,0,0,90,14.285715103149414,5,4.761904716491699,5,5,0,0,14.285715103149414,9.090909004211426,66481061888,2147479552,38052544512,0
99,1705491831175,754358.7553863525,4700,1,0.30000000000000004,511145.91998291016,4700,1,0.30000000000000004,513764.7785949707,4700,1,0.30000000000000004,566631.7683105469,4700,1,0.30000000000000004,559886.7133636475,4700,1,0.30000000000000004,539626.9393157959,4700,1,0.30000000000000004,522575.27734375,4700,1,0.30000000000000004,541644.0037231445,4700,1,0.30000000000000004,690484.124923706,4700,1,0.30000000000000004,562358.8193664551,4700,1,0.30000000000000004,519432.40229797363,4700,1,0.30000000000000004,516861.39726257324,4700,1,0.30000000000000004,155570475.38761902,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,0,3.125,3.3333334922790527,3.22580623626709,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,10.344827651977539,0,0,6.6666669845581055,3.22580623626709,0,96.66666412353516,0,0,3.4482758045196533,0,6.6666669845581055,3.22580623626709,3.3333334922790527,3.3333334922790527,3.3333334922790527,66481061888,2147479552,38054195200,0
99,1705491831275,754358.8609466553,4700,1,0.30000000000000004,511145.97204589844,4700,1,0.30000000000000004,513764.8345336914,4700,1,0.30000000000000004,566631.8703918457,4700,1,0.30000000000000004,559886.7613372803,4700,1,0.30000000000000004,539627.0067596436,4700,1,0.30000000000000004,522575.4174499512,4700,1,0.30000000000000004,541644.1236724854,4700,1,0.30000000000000004,690484.1894378662,4700,1,0.30000000000000004,562358.9244232178,4700,1,0.30000000000000004,519432.4856109619,4700,1,0.30000000000000004,516861.85231018066,4700,1,0.30000000000000004,155570479.82455444,4690,3000,3000,3000,3000,4690,4700,3000,4690,3000,4690,4690,4690,3000,3000,3000,3000,4690,3000,4690,3000,4700,4690,3000,0,3.125,3.3333334922790527,3.22580623626709,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,10.344827651977539,0,0,6.6666669845581055,3.22580623626709,0,96.66666412353516,0,0,3.4482758045196533,0,6.6666669845581055,3.22580623626709,3.3333334922790527,3.3333334922790527,3.3333334922790527,66481061888,2147479552,38056226816,0
