Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1705189798746,499669.3756866455,4700,1,0.30000000000000004,384849.2151184082,4700,1,0.30000000000000004,378907.3182373047,4700,1,0.30000000000000004,428050.0100250244,4700,1,0.30000000000000004,421145.9386291504,4700,1,0.30000000000000004,403705.45446777344,4700,1,0.30000000000000004,386834.11152648926,4700,1,0.30000000000000004,403221.3919067383,4700,1,0.30000000000000004,538636.8833618164,4700,1,0.30000000000000004,436993.674697876,4700,1,0.30000000000000004,393406.24813842773,4700,1,0.30000000000000004,394986.5563812256,4700,1,0.30000000000000004,147816060.29122925,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,0,4.1666669845581055,0,8,0,0,0,0,4.1666669845581055,0,0,4,0,0,4.1666669845581055,0,4.34782600402832,0,4,0,0,0,4,0,66481061888,2147479552,37318389760,0
99,1705189798747,499669.3896484375,4700,1,0.30000000000000004,384849.21519470215,4700,1,0.30000000000000004,378907.3277282715,4700,1,0.30000000000000004,428050.0135192871,4700,1,0.30000000000000004,421145.9409942627,4700,1,0.30000000000000004,403705.45625305176,4700,1,0.30000000000000004,386834.11346435547,4700,1,0.30000000000000004,403221.39375305176,4700,1,0.30000000000000004,538636.8844604492,4700,1,0.30000000000000004,436993.6761779785,4700,1,0.30000000000000004,393406.2493286133,4700,1,0.30000000000000004,394986.55740356445,4700,1,0.30000000000000004,147816060.37783813,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,0,4.1666669845581055,0,8,0,0,0,0,4.1666669845581055,0,0,4,0,0,4.1666669845581055,0,4.34782600402832,0,4,0,0,0,4,0,66481061888,2147479552,37320425472,0
99,1705189798847,499669.6349334717,4700,1,0.29374999999999996,384849.31925964355,4700,1,0.30000000000000004,378907.43620300293,4700,1,0.30000000000000004,428050.15411376953,4700,1,0.30000000000000004,421146.054397583,4700,1,0.30000000000000004,403705.6107330322,4700,1,0.30000000000000004,386834.25102233887,4700,1,0.30000000000000004,403221.53021240234,4700,1,0.30000000000000004,538637.0058746338,4700,1,0.30000000000000004,436993.8034210205,4700,1,0.30000000000000004,393406.3564300537,4700,1,0.30000000000000004,394986.6674346924,4700,1,0.30000000000000004,147816065.0394745,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,0,4.1666669845581055,0,8,0,0,0,0,4.1666669845581055,0,0,4,0,0,4.1666669845581055,0,4.34782600402832,0,4,0,0,0,4,0,66481061888,2147479552,37337325568,0
99,1705189798947,499669.67390441895,4700,1,0.30000000000000004,384849.365234375,4700,1,0.30000000000000004,378907.49870300293,4700,1,0.30000000000000004,428050.1939086914,4700,1,0.30000000000000004,421146.09313964844,4700,1,0.30000000000000004,403705.660446167,4700,1,0.30000000000000004,386834.3254547119,4700,1,0.30000000000000004,403221.59341430664,4700,1,0.30000000000000004,538637.0432128906,4700,1,0.30000000000000004,436993.8488006592,4700,1,0.30000000000000004,393406.38735961914,4700,1,0.30000000000000004,394986.7012023926,4700,1,0.30000000000000004,147816068.2879181,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,10.526315689086914,0,0,0,4.761904716491699,4.761904716491699,0,5,4.761904716491699,0,0,0,0,0,0,4.761904716491699,5,5,0,5,0,5,0,4.761904716491699,66481061888,2147479552,37340393472,0
99,1705189799047,499669.8687438965,4700,1,0.30000000000000004,384849.5013580322,4700,1,0.30000000000000004,378907.6118774414,4700,1,0.30000000000000004,428050.31927490234,4700,1,0.30000000000000004,421146.23921203613,4700,1,0.30000000000000004,403705.8524169922,4700,1,0.30000000000000004,386834.52571105957,4700,1,0.30000000000000004,403221.79608154297,4700,1,0.30000000000000004,538637.4377441406,4700,1,0.30000000000000004,436993.9942626953,4700,1,0.30000000000000004,393406.5317687988,4700,1,0.30000000000000004,394986.8218231201,4700,1,0.30000000000000004,147816073.52043152,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,10.526315689086914,0,0,0,4.761904716491699,4.761904716491699,0,5,4.761904716491699,0,0,0,0,0,0,4.761904716491699,5,5,0,5,0,5,0,4.761904716491699,66481061888,2147479552,37343649792,0
99,1705189799147,499669.97465515137,4700,1,0.31874999999999987,384849.60372924805,4700,1,0.3125,378907.6971435547,4700,1,0.3125,428050.4226837158,4700,1,0.31874999999999987,421146.33296203613,4700,1,0.31874999999999987,403705.9360656738,4700,1,0.3125,386834.7802734375,4700,1,0.3125,403221.8963165283,4700,1,0.3125,538637.8701934814,4700,1,0.3125,436994.1191558838,4700,1,0.3125,393406.6638183594,4700,1,0.3125,394986.9330291748,4700,1,0.3125,147816078.23669434,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,5,5,5,5,10.526315689086914,5,5,5,22.22222328186035,4.761904716491699,80.95238494873047,4.761904716491699,5,9.523809432983398,0,5,5,5,9.523809432983398,10.526315689086914,10.526315689086914,5.263157844543457,0,0,66481061888,2147479552,37341753344,0
99,1705189799247,499670.02632141113,4700,1,0.30000000000000004,384849.6873321533,4700,1,0.30000000000000004,378907.7855987549,4700,1,0.30000000000000004,428050.46296691895,4700,1,0.30000000000000004,421146.3837585449,4700,1,0.30000000000000004,403706.00617980957,4700,1,0.30000000000000004,386834.8819580078,4700,1,0.30000000000000004,403221.9408721924,4700,1,0.30000000000000004,538638.3246307373,4700,1,0.30000000000000004,436994.2015533447,4700,1,0.30000000000000004,393406.7559661865,4700,1,0.30000000000000004,394987.0511932373,4700,1,0.30000000000000004,147816082.7810974,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,5,5,5,5,10.526315689086914,5,5,5,22.22222328186035,4.761904716491699,80.95238494873047,4.761904716491699,5,9.523809432983398,0,5,5,5,9.523809432983398,10.526315689086914,10.526315689086914,5.263157844543457,0,0,66481061888,2147479552,37342593024,0
99,1705189799347,499670.1473083496,4700,1,0.30000000000000004,384849.7953186035,4700,1,0.30000000000000004,378907.8723144531,4700,1,0.30000000000000004,428050.59313964844,4700,1,0.30000000000000004,421146.49186706543,4700,1,0.30000000000000004,403706.2093811035,4700,1,0.30000000000000004,386835.02142333984,4700,1,0.30000000000000004,403222.0661468506,4700,1,0.30000000000000004,538638.756652832,4700,1,0.30000000000000004,436994.283493042,4700,1,0.30000000000000004,393406.891708374,4700,1,0.30000000000000004,394987.14630126953,4700,1,0.30000000000000004,147816087.6551056,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,0,0,5,0,5,9.523809432983398,5,15.789472579956055,4.761904716491699,5,95,0,5,0,0,0,5,0,0,5,4.761904716491699,4.761904716491699,0,0,66481061888,2147479552,37347123200,0
99,1705189799447,499670.1609802246,4700,1,0.30000000000000004,384849.88638305664,4700,1,0.30000000000000004,378907.9385070801,4700,1,0.30000000000000004,428050.6354980469,4700,1,0.30000000000000004,421146.51445007324,4700,1,0.30000000000000004,403706.27294921875,4700,1,0.30000000000000004,386835.07566833496,4700,1,0.30000000000000004,403222.0856323242,4700,1,0.30000000000000004,538639.2287597656,4700,1,0.30000000000000004,436994.35523986816,4700,1,0.30000000000000004,393406.9935760498,4700,1,0.30000000000000004,394987.1884918213,4700,1,0.30000000000000004,147816091.88502502,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,0,0,5,0,5,9.523809432983398,5,15.789472579956055,4.761904716491699,5,95,0,5,0,0,0,5,0,0,5,4.761904716491699,4.761904716491699,0,0,66481061888,2147479552,37349134336,0
99,1705189799547,499670.2065887451,4700,1,0.30000000000000004,384849.94023132324,4700,1,0.30000000000000004,378907.97286987305,4700,1,0.30000000000000004,428050.7107696533,4700,1,0.30000000000000004,421146.5662841797,4700,1,0.30000000000000004,403706.313079834,4700,1,0.30000000000000004,386835.17237854004,4700,1,0.30000000000000004,403222.1885070801,4700,1,0.30000000000000004,538639.697052002,4700,1,0.30000000000000004,436994.45573425293,4700,1,0.30000000000000004,393407.02993774414,4700,1,0.30000000000000004,394987.2507019043,4700,1,0.30000000000000004,147816096.1152649,3000,4690,4691,4690,4691,3000,4693,4690,3000,3000,4690,3000,3000,3000,3000,3000,3000,3000,4700,4700,3000,4700,3000,3000,0,0,5,0,4.761904716491699,5,0,9.523809432983398,0,0,100,0,4.761904716491699,5,5,5,0,0,4.761904716491699,5,9.523809432983398,5,0,0,66481061888,2147479552,37349814272,0
