Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708337122942,1440324.7379302979,4700,1,0.30000000000000004,886786.7757110596,4700,1,0.30000000000000004,893471.1985626221,4700,1,0.30000000000000004,973442.9179992676,4700,1,0.30000000000000004,956340.6106262207,4700,1,0.30000000000000004,944854.169998169,4700,1,0.30000000000000004,917150.1245727539,4700,1,0.30000000000000004,950858.5518188477,4700,1,0.30000000000000004,1109374.8062286377,4700,1,0.30000000000000004,960906.6853637695,4700,1,0.30000000000000004,894132.6085510254,4700,1,0.30000000000000004,892728.5223846436,4700,1,0.30000000000000004,215036169.12980652,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,0,0,0,0,0,3.5714287757873535,0,0,3.7037036418914795,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,36109504512,353615872
99,1708337122943,1440324.7390441895,4700,1,0.30000000000000004,886786.7767181396,4700,1,0.30000000000000004,893471.2000274658,4700,1,0.30000000000000004,973442.9190673828,4700,1,0.30000000000000004,956340.6119842529,4700,1,0.30000000000000004,944854.171081543,4700,1,0.30000000000000004,917150.1348114014,4700,1,0.30000000000000004,950858.5530548096,4700,1,0.30000000000000004,1109374.8070220947,4700,1,0.30000000000000004,960906.6861724854,4700,1,0.30000000000000004,894132.6184234619,4700,1,0.30000000000000004,892728.5234375,4700,1,0.30000000000000004,215036169.2680664,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,0,0,0,0,0,3.5714287757873535,0,0,3.7037036418914795,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,36111052800,353615872
99,1708337123044,1440324.8819885254,4700,1,0.30000000000000004,886786.8598327637,4700,1,0.30000000000000004,893471.3229522705,4700,1,0.30000000000000004,973443.0523223877,4700,1,0.30000000000000004,956340.7062683105,4700,1,0.30000000000000004,944854.288848877,4700,1,0.30000000000000004,917150.2644805908,4700,1,0.30000000000000004,950858.6819915771,4700,1,0.30000000000000004,1109374.999710083,4700,1,0.30000000000000004,960906.832611084,4700,1,0.30000000000000004,894132.8088989258,4700,1,0.30000000000000004,892728.6555175781,4700,1,0.30000000000000004,215036173.85839844,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,0,0,0,0,0,3.5714287757873535,0,0,3.7037036418914795,0,0,0,0,3.5714287757873535,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,36131041280,353615872
99,1708337123144,1440324.9627227783,4700,1,0.30000000000000004,886786.9292449951,4700,1,0.30000000000000004,893471.4075317383,4700,1,0.30000000000000004,973443.1262969971,4700,1,0.30000000000000004,956340.7758026123,4700,1,0.30000000000000004,944854.3450927734,4700,1,0.30000000000000004,917150.349533081,4700,1,0.30000000000000004,950858.752243042,4700,1,0.30000000000000004,1109375.059310913,4700,1,0.30000000000000004,960906.9015045166,4700,1,0.30000000000000004,894132.9412841797,4700,1,0.30000000000000004,892728.7624664307,4700,1,0.30000000000000004,215036177.76789856,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,9.523809432983398,0,4.761904716491699,0,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,5,4.761904716491699,4.761904716491699,0,4.761904716491699,10,5,0,0,9.523809432983398,5,0,10,5,14.285715103149414,0,66481061888,2147479552,36137988096,353615872
99,1708337123244,1440325.1766357422,4700,1,0.30000000000000004,886787.111328125,4700,1,0.30000000000000004,893471.5455322266,4700,1,0.30000000000000004,973443.2904205322,4700,1,0.30000000000000004,956340.960144043,4700,1,0.30000000000000004,944854.4966125488,4700,1,0.30000000000000004,917150.5482025146,4700,1,0.30000000000000004,950859.1934661865,4700,1,0.30000000000000004,1109375.20602417,4700,1,0.30000000000000004,960907.0406646729,4700,1,0.30000000000000004,894133.1753692627,4700,1,0.30000000000000004,892728.9061431885,4700,1,0.30000000000000004,215036183.03710938,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,9.523809432983398,0,4.761904716491699,0,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,5,4.761904716491699,4.761904716491699,0,4.761904716491699,10,5,0,0,9.523809432983398,5,0,10,5,14.285715103149414,0,66481061888,2147479552,36141592576,353615872
99,1708337123344,1440325.2726287842,4700,1,0.30000000000000004,886787.2387084961,4700,1,0.30000000000000004,893471.6193847656,4700,1,0.30000000000000004,973443.3867340088,4700,1,0.30000000000000004,956341.0756530762,4700,1,0.30000000000000004,944854.5870666504,4700,1,0.30000000000000004,917150.6405181885,4700,1,0.30000000000000004,950859.6637420654,4700,1,0.30000000000000004,1109375.2658233643,4700,1,0.30000000000000004,960907.132232666,4700,1,0.30000000000000004,894133.2996368408,4700,1,0.30000000000000004,892729.0047149658,4700,1,0.30000000000000004,215036187.59661865,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,0,4.761904716491699,5.263157844543457,9.523809432983398,0,5,0,4.761904716491699,14.285715103149414,5,5,5,5.263157844543457,5.263157844543457,0,10.526315689086914,4.761904716491699,0,5,85,0,0,10.526315689086914,9.523809432983398,66481061888,2147479552,36147732480,353615872
99,1708337123444,1440325.4155731201,4700,1,0.3062499999999999,886787.3611297607,4700,1,0.3062499999999999,893471.7318572998,4700,1,0.3062499999999999,973443.5168914795,4700,1,0.3062499999999999,956341.2270965576,4700,1,0.3062499999999999,944854.685043335,4700,1,0.3062499999999999,917150.7985229492,4700,1,0.3062499999999999,950860.1625366211,4700,1,0.3062499999999999,1109375.352798462,4700,1,0.3062499999999999,960907.2280426025,4700,1,0.3062499999999999,894133.4204559326,4700,1,0.3062499999999999,892729.1488189697,4700,1,0.3062499999999999,215036192.56756592,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,0,4.761904716491699,5.263157844543457,9.523809432983398,0,5,0,4.761904716491699,14.285715103149414,5,5,5,5.263157844543457,5.263157844543457,0,10.526315689086914,4.761904716491699,0,5,85,0,0,10.526315689086914,9.523809432983398,66481061888,2147479552,36149506048,353615872
99,1708337123544,1440325.5490875244,4700,1,0.3062499999999999,886787.4909210205,4700,1,0.3062499999999999,893471.8458557129,4700,1,0.3062499999999999,973443.6529693604,4700,1,0.3062499999999999,956341.3086853027,4700,1,0.3062499999999999,944854.8259735107,4700,1,0.3062499999999999,917150.8869018555,4700,1,0.3062499999999999,950860.6564483643,4700,1,0.3062499999999999,1109375.4321136475,4700,1,0.3062499999999999,960907.3213806152,4700,1,0.3062499999999999,894133.5405731201,4700,1,0.3062499999999999,892729.2404174805,4700,1,0.3062499999999999,215036197.41915894,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,10,5,9.523809432983398,5,0,5,5.263157844543457,5.263157844543457,10,5,5,0,0,5,4.761904716491699,5.263157844543457,5,0,0,100,0,0,5,10,66481061888,2147479552,36153221120,353615872
99,1708337123644,1440325.7024841309,4700,1,0.3062499999999999,886787.6426696777,4700,1,0.3062499999999999,893471.9679107666,4700,1,0.3062499999999999,973443.7760772705,4700,1,0.3062499999999999,956341.4585266113,4700,1,0.3062499999999999,944854.9563140869,4700,1,0.3062499999999999,917151.0538482666,4700,1,0.3062499999999999,950861.1399383545,4700,1,0.3062499999999999,1109375.571472168,4700,1,0.3062499999999999,960907.4220275879,4700,1,0.3062499999999999,894133.6904144287,4700,1,0.3062499999999999,892729.3382720947,4700,1,0.3062499999999999,215036202.46731567,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,10,5,9.523809432983398,5,0,5,5.263157844543457,5.263157844543457,10,5,5,0,0,5,4.761904716491699,5.263157844543457,5,0,0,100,0,0,5,10,66481061888,2147479552,36155715584,353615872
99,1708337123744,1440325.8040008545,4700,1,0.30000000000000004,886787.703414917,4700,1,0.30000000000000004,893472.0281677246,4700,1,0.30000000000000004,973443.8799438477,4700,1,0.30000000000000004,956341.5975189209,4700,1,0.30000000000000004,944855.0406646729,4700,1,0.30000000000000004,917151.1954345703,4700,1,0.30000000000000004,950861.6393890381,4700,1,0.30000000000000004,1109375.6495513916,4700,1,0.30000000000000004,960907.4812774658,4700,1,0.30000000000000004,894133.7553405762,4700,1,0.30000000000000004,892729.423751831,4700,1,0.30000000000000004,215036207.07624817,3000,3000,4689,3000,4690,4690,4690,4700,3000,3000,4700,4690,3000,3000,3000,4700,4690,3000,3000,3000,4690,4700,4690,4690,5,4.761904716491699,0,0,9.523809432983398,0,5,5,14.285715103149414,0,5,0,4.761904716491699,5,0,0,0,0,5,94.73684692382813,5,0,5,0,66481061888,2147479552,36153417728,353615872
