Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1710251575156,151038.86947631836,4700,1,0.30000000000000004,48379.534088134766,4700,1,0.30000000000000004,55153.717193603516,4700,1,0.30000000000000004,54142.21055603027,4700,1,0.30000000000000004,55266.75637817383,4700,1,0.30000000000000004,53712.672271728516,4700,1,0.30000000000000004,57011.85025024414,4700,1,0.30000000000000004,53071.38117980957,4700,1,0.30000000000000004,55114.32081604004,4700,1,0.30000000000000004,48766.67790222168,4700,1,0.30000000000000004,47116.41395568848,4700,1,0.30000000000000004,49856.26957702637,4700,1,0.30000000000000004,21797255.295928955,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,0,4.1666669845581055,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4.1666669845581055,0,0,0,0,0,0,0,66480517120,2147479552,22707748864,0
99,1710251575157,151038.86987304688,4700,1,0.30000000000000004,48379.544342041016,4700,1,0.30000000000000004,55153.71726989746,4700,1,0.30000000000000004,54142.22514343262,4700,1,0.30000000000000004,55266.75651550293,4700,1,0.30000000000000004,53712.67575073242,4700,1,0.30000000000000004,57011.851989746094,4700,1,0.30000000000000004,53071.381286621094,4700,1,0.30000000000000004,55114.32144165039,4700,1,0.30000000000000004,48766.67835998535,4700,1,0.30000000000000004,47116.41403198242,4700,1,0.30000000000000004,49856.26982116699,4700,1,0.30000000000000004,21797255.37918091,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,0,4.1666669845581055,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4.1666669845581055,0,0,0,0,0,0,0,66480517120,2147479552,22710845440,0
99,1710251575257,151038.9612121582,4700,1,0.29374999999999996,48379.658203125,4700,1,0.30000000000000004,55153.80244445801,4700,1,0.30000000000000004,54142.36264038086,4700,1,0.29374999999999996,55266.89421081543,4700,1,0.30000000000000004,53712.81443786621,4700,1,0.30000000000000004,57011.9567565918,4700,1,0.30000000000000004,53071.51722717285,4700,1,0.30000000000000004,55114.53991699219,4700,1,0.30000000000000004,48766.76608276367,4700,1,0.30000000000000004,47116.48371887207,4700,1,0.30000000000000004,49856.352310180664,4700,1,0.30000000000000004,21797259.685333252,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,0,4.1666669845581055,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4.1666669845581055,0,0,0,0,0,0,0,66480517120,2147479552,22728974336,0
99,1710251575357,151039.03521728516,4700,1,0.30000000000000004,48379.715744018555,4700,1,0.30000000000000004,55153.888412475586,4700,1,0.30000000000000004,54142.45181274414,4700,1,0.30000000000000004,55266.932357788086,4700,1,0.30000000000000004,53712.87983703613,4700,1,0.30000000000000004,57012.04441833496,4700,1,0.30000000000000004,53071.57197570801,4700,1,0.30000000000000004,55114.58271789551,4700,1,0.30000000000000004,48766.84765625,4700,1,0.30000000000000004,47116.560806274414,4700,1,0.30000000000000004,49856.44744873047,4700,1,0.30000000000000004,21797263.617385864,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,4.761904716491699,9.523809432983398,0,0,4.761904716491699,4.761904716491699,5,0,0,5,14.285715103149414,0,0,5,9.523809432983398,10,5,0,0,0,0,0,0,0,66480517120,2147479552,22734594048,0
99,1710251575457,151039.18125915527,4700,1,0.3062499999999999,48379.83215332031,4700,1,0.3062499999999999,55154.03253173828,4700,1,0.3062499999999999,54142.593978881836,4700,1,0.3062499999999999,55267.09288024902,4700,1,0.3062499999999999,53713.007064819336,4700,1,0.3062499999999999,57012.24572753906,4700,1,0.3062499999999999,53071.731536865234,4700,1,0.3062499999999999,55114.72607421875,4700,1,0.3062499999999999,48767.00038146973,4700,1,0.3062499999999999,47116.99021911621,4700,1,0.3062499999999999,49856.577880859375,4700,1,0.3062499999999999,21797268.706954956,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,4.761904716491699,9.523809432983398,0,0,4.761904716491699,4.761904716491699,5,0,0,5,14.285715103149414,0,0,5,9.523809432983398,10,5,0,0,0,0,0,0,0,66480517120,2147479552,22735765504,0
99,1710251575557,151039.3376312256,4700,1,0.3062499999999999,48379.94189453125,4700,1,0.3062499999999999,55154.18214416504,4700,1,0.3062499999999999,54142.72602844238,4700,1,0.3062499999999999,55267.29057312012,4700,1,0.3062499999999999,53713.13458251953,4700,1,0.3062499999999999,57012.455810546875,4700,1,0.3062499999999999,53071.86004638672,4700,1,0.3062499999999999,55114.83972167969,4700,1,0.3062499999999999,48767.138275146484,4700,1,0.3062499999999999,47117.431732177734,4700,1,0.3062499999999999,49856.72262573242,4700,1,0.3062499999999999,21797273.745803833,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,5,0,0,10,5.263157844543457,0,10.526315689086914,5,0,10,0,5,0,95.23809814453125,0,0,0,5,15.000000953674316,4.761904716491699,5.263157844543457,9.523809432983398,4.761904716491699,5,66480517120,2147479552,22740811776,0
99,1710251575657,151039.48475646973,4700,1,0.30000000000000004,48380.06010437012,4700,1,0.30000000000000004,55154.32011413574,4700,1,0.30000000000000004,54142.83613586426,4700,1,0.30000000000000004,55267.47038269043,4700,1,0.30000000000000004,53713.25486755371,4700,1,0.30000000000000004,57012.69155883789,4700,1,0.30000000000000004,53072.00326538086,4700,1,0.30000000000000004,55114.94662475586,4700,1,0.30000000000000004,48767.27569580078,4700,1,0.30000000000000004,47117.87577819824,4700,1,0.30000000000000004,49856.86050415039,4700,1,0.30000000000000004,21797279.040603638,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,5,0,0,10,5.263157844543457,0,10.526315689086914,5,0,10,0,5,0,95.23809814453125,0,0,0,5,15.000000953674316,4.761904716491699,5.263157844543457,9.523809432983398,4.761904716491699,5,66480517120,2147479552,22743334912,0
99,1710251575757,151039.58001708984,4700,1,0.30000000000000004,48380.173751831055,4700,1,0.30000000000000004,55154.46226501465,4700,1,0.30000000000000004,54142.974212646484,4700,1,0.30000000000000004,55267.63961791992,4700,1,0.30000000000000004,53713.39393615723,4700,1,0.30000000000000004,57012.90223693848,4700,1,0.30000000000000004,53072.16703796387,4700,1,0.30000000000000004,55115.05310058594,4700,1,0.30000000000000004,48767.4649810791,4700,1,0.30000000000000004,47118.315200805664,4700,1,0.30000000000000004,49856.97521972656,4700,1,0.30000000000000004,21797284.06300354,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,0,5.263157844543457,0,10.526315689086914,5,4.761904716491699,15.000000953674316,5,18.18181800842285,4.761904716491699,0,15.000000953674316,0,95,0,5,0,0,11.111111640930176,0,0,0,0,4.761904716491699,66480517120,2147479552,22740926464,0
99,1710251575857,151039.7540283203,4700,1,0.3062499999999999,48380.35478210449,4700,1,0.3062499999999999,55154.632553100586,4700,1,0.3062499999999999,54143.23193359375,4700,1,0.3062499999999999,55267.88148498535,4700,1,0.3062499999999999,53713.6149597168,4700,1,0.3062499999999999,57013.09924316406,4700,1,0.3062499999999999,53072.36975097656,4700,1,0.3062499999999999,55115.20219421387,4700,1,0.3062499999999999,48767.69938659668,4700,1,0.3062499999999999,47118.78224182129,4700,1,0.3062499999999999,49857.08140563965,4700,1,0.3062499999999999,21797289.810684204,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,0,5.263157844543457,0,10.526315689086914,5,4.761904716491699,15.000000953674316,5,18.18181800842285,4.761904716491699,0,15.000000953674316,0,95,0,5,0,0,11.111111640930176,0,0,0,0,4.761904716491699,66480517120,2147479552,22834384896,0
99,1710251575957,151039.82037353516,4700,1,0.30000000000000004,48380.392517089844,4700,1,0.30000000000000004,55154.654052734375,4700,1,0.30000000000000004,54143.299560546875,4700,1,0.30000000000000004,55268.01516723633,4700,1,0.30000000000000004,53713.78448486328,4700,1,0.30000000000000004,57013.149673461914,4700,1,0.30000000000000004,53072.4436340332,4700,1,0.30000000000000004,55115.20942687988,4700,1,0.30000000000000004,48767.86552429199,4700,1,0.30000000000000004,47119.248138427734,4700,1,0.30000000000000004,49857.10792541504,4700,1,0.30000000000000004,21797294.216430664,4690,4690,400,400,400,400,400,400,400,400,4690,400,4690,400,400,4690,4690,400,400,400,4688,400,400,400,9.523809432983398,15.000000953674316,4.761904716491699,9.523809432983398,5.263157844543457,5,19.047618865966797,10,5.263157844543457,10,0,15.000000953674316,14.285715103149414,47.619049072265625,9.523809432983398,5.263157844543457,10,15.000000953674316,5,10,14.285715103149414,10,52.6315803527832,9.523809432983398,66480517120,2147479552,22858899456,0
