Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1710250311360,145112.97776794434,4700,1,0.29374999999999996,47078.503356933594,4700,1,0.29374999999999996,52286.82481384277,4700,1,0.29374999999999996,52009.85740661621,4700,1,0.29374999999999996,53331.02299499512,4700,1,0.29374999999999996,51182.3888092041,4700,1,0.29374999999999996,55183.23977661133,4700,1,0.29374999999999996,51083.279205322266,4700,1,0.29374999999999996,52754.72184753418,4700,1,0.29374999999999996,47078.6162109375,4700,1,0.29374999999999996,45175.04618835449,4700,1,0.29374999999999996,48131.79365539551,4700,1,0.29374999999999996,21730064.4447937,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,3.22580623626709,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0303030014038086,0,0,66480517120,2147479552,22700322816,0
99,1710250311361,145112.98780822754,4700,1,0.30000000000000004,47078.50343322754,4700,1,0.30000000000000004,52286.835205078125,4700,1,0.30000000000000004,52009.857513427734,4700,1,0.30000000000000004,53331.02310180664,4700,1,0.30000000000000004,51182.390869140625,4700,1,0.30000000000000004,55183.23988342285,4700,1,0.30000000000000004,51083.27931213379,4700,1,0.30000000000000004,52754.721923828125,4700,1,0.30000000000000004,47078.616287231445,4700,1,0.30000000000000004,45175.04626464844,4700,1,0.30000000000000004,48131.79373168945,4700,1,0.30000000000000004,21730064.51965332,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,3.22580623626709,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0303030014038086,0,0,66480517120,2147479552,22702903296,0
99,1710250311462,145113.11166381836,4700,1,0.30000000000000004,47078.60975646973,4700,1,0.29374999999999996,52287.01899719238,4700,1,0.29374999999999996,52010.04284667969,4700,1,0.30000000000000004,53331.132400512695,4700,1,0.30000000000000004,51182.473220825195,4700,1,0.30000000000000004,55183.34548950195,4700,1,0.30000000000000004,51083.31851196289,4700,1,0.30000000000000004,52754.831283569336,4700,1,0.30000000000000004,47078.73896789551,4700,1,0.29374999999999996,45175.15498352051,4700,1,0.29374999999999996,48131.893325805664,4700,1,0.29374999999999996,21730069.068374634,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,3.22580623626709,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0303030014038086,0,0,66480517120,2147479552,22720450560,0
99,1710250311562,145113.1947479248,4700,1,0.30000000000000004,47078.73782348633,4700,1,0.30000000000000004,52287.13836669922,4700,1,0.30000000000000004,52010.23385620117,4700,1,0.30000000000000004,53331.25959777832,4700,1,0.30000000000000004,51182.53869628906,4700,1,0.30000000000000004,55183.41714477539,4700,1,0.30000000000000004,51083.461196899414,4700,1,0.30000000000000004,52754.9342956543,4700,1,0.30000000000000004,47078.825744628906,4700,1,0.30000000000000004,45175.2677154541,4700,1,0.30000000000000004,48132.06297302246,4700,1,0.30000000000000004,21730073.516830444,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,13.636363983154297,28.571430206298828,0,5,0,0,5,0,0,9.523809432983398,0,5,5,0,0,5.263157844543457,10,4.761904716491699,5,0,5,0,0,10,66480517120,2147479552,22728060928,0
99,1710250311662,145113.23503112793,4700,1,0.30000000000000004,47078.83297729492,4700,1,0.30000000000000004,52287.20623779297,4700,1,0.30000000000000004,52010.72277832031,4700,1,0.30000000000000004,53331.34359741211,4700,1,0.30000000000000004,51182.57627868652,4700,1,0.30000000000000004,55183.54579162598,4700,1,0.30000000000000004,51083.54119873047,4700,1,0.30000000000000004,52755.02896118164,4700,1,0.30000000000000004,47078.87814331055,4700,1,0.30000000000000004,45175.34117126465,4700,1,0.30000000000000004,48132.12205505371,4700,1,0.30000000000000004,21730077.998641968,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,13.636363983154297,28.571430206298828,0,5,0,0,5,0,0,9.523809432983398,0,5,5,0,0,5.263157844543457,10,4.761904716491699,5,0,5,0,0,10,66480517120,2147479552,22729891840,0
99,1710250311762,145113.29257202148,4700,1,0.30000000000000004,47078.92704772949,4700,1,0.30000000000000004,52287.28916931152,4700,1,0.30000000000000004,52011.18257141113,4700,1,0.30000000000000004,53331.386306762695,4700,1,0.30000000000000004,51182.680084228516,4700,1,0.30000000000000004,55183.661071777344,4700,1,0.30000000000000004,51083.57580566406,4700,1,0.30000000000000004,52755.1492767334,4700,1,0.30000000000000004,47078.94569396973,4700,1,0.30000000000000004,45175.41416931152,4700,1,0.30000000000000004,48132.19032287598,4700,1,0.30000000000000004,21730082.508270264,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,5,95,4.761904716491699,9.523809432983398,0,0,4.761904716491699,5,0,5,4.761904716491699,5,5,9.523809432983398,5,5,0,0,10,5,5,0,4.761904716491699,5,66480517120,2147479552,22731898880,0
99,1710250311862,145113.41221618652,4700,1,0.3062499999999999,47079.08547973633,4700,1,0.3062499999999999,52287.41093444824,4700,1,0.3062499999999999,52011.64468383789,4700,1,0.3062499999999999,53331.5803527832,4700,1,0.3062499999999999,51182.8141784668,4700,1,0.3062499999999999,55183.78315734863,4700,1,0.3062499999999999,51083.71928405762,4700,1,0.3062499999999999,52755.3221282959,4700,1,0.3062499999999999,47079.0877532959,4700,1,0.3062499999999999,45175.581451416016,4700,1,0.3062499999999999,48132.31803894043,4700,1,0.3062499999999999,21730087.56739807,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,5,95,4.761904716491699,9.523809432983398,0,0,4.761904716491699,5,0,5,4.761904716491699,5,5,9.523809432983398,5,5,0,0,10,5,5,0,4.761904716491699,5,66480517120,2147479552,22735712256,0
99,1710250311962,145113.53379821777,4700,1,0.3062499999999999,47079.231369018555,4700,1,0.3062499999999999,52287.55155944824,4700,1,0.3062499999999999,52012.11990356445,4700,1,0.3062499999999999,53331.79489135742,4700,1,0.3062499999999999,51182.96260070801,4700,1,0.3062499999999999,55183.91474914551,4700,1,0.3062499999999999,51083.875427246094,4700,1,0.3062499999999999,52755.4924621582,4700,1,0.3062499999999999,47079.22659301758,4700,1,0.3062499999999999,45175.722747802734,4700,1,0.3062499999999999,48132.44853210449,4700,1,0.3062499999999999,21730092.774597168,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,4.761904716491699,30.000001907348633,0,0,0,66.66667175292969,0,0,0,4.761904716491699,5,10,10,14.285715103149414,9.523809432983398,14.285715103149414,10,4.761904716491699,0,10,10.526315689086914,0,4.761904716491699,4.761904716491699,66480517120,2147479552,22733279232,0
99,1710250312062,145113.66152954102,4700,1,0.3125,47079.38929748535,4700,1,0.3125,52287.736907958984,4700,1,0.3125,52012.59487915039,4700,1,0.3125,53332.00778198242,4700,1,0.3125,51183.13757324219,4700,1,0.3125,55184.08074951172,4700,1,0.3125,51084.054275512695,4700,1,0.3125,52755.631408691406,4700,1,0.3125,47079.41387939453,4700,1,0.3125,45175.89309692383,4700,1,0.3125,48132.644927978516,4700,1,0.3125,21730098.329605103,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,4.761904716491699,30.000001907348633,0,0,0,66.66667175292969,0,0,0,4.761904716491699,5,10,10,14.285715103149414,9.523809432983398,14.285715103149414,10,4.761904716491699,0,10,10.526315689086914,0,4.761904716491699,4.761904716491699,66480517120,2147479552,22761447424,0
99,1710250312162,145113.73626708984,4700,1,0.30000000000000004,47079.549728393555,4700,1,0.30000000000000004,52287.85935974121,4700,1,0.30000000000000004,52013.08854675293,4700,1,0.30000000000000004,53332.25762939453,4700,1,0.30000000000000004,51183.22441101074,4700,1,0.30000000000000004,55184.16395568848,4700,1,0.30000000000000004,51084.199783325195,4700,1,0.30000000000000004,52755.76484680176,4700,1,0.30000000000000004,47079.53497314453,4700,1,0.30000000000000004,45176.03157043457,4700,1,0.30000000000000004,48132.783782958984,4700,1,0.30000000000000004,21730103.48588562,4690,4690,400,400,400,400,4690,400,400,4690,400,400,400,4690,4690,4693,4690,400,400,400,4690,4690,400,400,10,0,5.263157844543457,9.523809432983398,5,100,5.263157844543457,9.523809432983398,0,0,10.526315689086914,10,20,9.523809432983398,10.526315689086914,10,10,0,10,20,5,9.523809432983398,10,5.263157844543457,66480517120,2147479552,22818283520,0
