Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1707930587450,1128931.202407837,4700,1,0.3062499999999999,831343.8177032471,4700,1,0.30000000000000004,841370.5863189697,4700,1,0.30000000000000004,910114.2972869873,4700,1,0.3062499999999999,892882.6931762695,4700,1,0.3062499999999999,882361.2317962646,4700,1,0.3062499999999999,856196.8210754395,4700,1,0.3062499999999999,889900.6940460205,4700,1,0.3062499999999999,1038899.8103179932,4700,1,0.3062499999999999,908413.2126617432,4700,1,0.3062499999999999,839284.5198516846,4700,1,0.3062499999999999,840120.4552612305,4700,1,0.3062499999999999,206128766.54153442,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,3.7037036418914795,0,0,0,0,0,0,4,3.846153974533081,0,0,0,0,0,0,0,0,3.846153974533081,0,0,0,0,0,0,66481061888,2147479552,36645761024,383500288
99,1707930587451,1128931.20413208,4700,1,0.30000000000000004,831343.8193511963,4700,1,0.30000000000000004,841370.587600708,4700,1,0.30000000000000004,910114.298904419,4700,1,0.30000000000000004,892882.6967315674,4700,1,0.30000000000000004,882361.2461547852,4700,1,0.30000000000000004,856196.8225250244,4700,1,0.30000000000000004,889900.6956481934,4700,1,0.30000000000000004,1038899.8114929199,4700,1,0.30000000000000004,908413.222366333,4700,1,0.30000000000000004,839284.520980835,4700,1,0.30000000000000004,840120.4563140869,4700,1,0.30000000000000004,206128766.63142395,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,3.7037036418914795,0,0,0,0,0,0,4,3.846153974533081,0,0,0,0,0,0,0,0,3.846153974533081,0,0,0,0,0,0,66481061888,2147479552,36648857600,383500288
99,1707930587551,1128931.3327331543,4700,1,0.29374999999999996,831343.8949890137,4700,1,0.29374999999999996,841370.6970672607,4700,1,0.29374999999999996,910114.4724273682,4700,1,0.29374999999999996,892882.823135376,4700,1,0.29374999999999996,882361.3766326904,4700,1,0.29374999999999996,856196.9221954346,4700,1,0.29374999999999996,889900.810623169,4700,1,0.29374999999999996,1038899.9132537842,4700,1,0.29374999999999996,908413.3781280518,4700,1,0.29374999999999996,839284.66015625,4700,1,0.29374999999999996,840120.5288696289,4700,1,0.29374999999999996,206128771.12968445,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,3.7037036418914795,0,0,0,0,0,0,4,3.846153974533081,0,0,0,0,0,0,0,0,3.846153974533081,0,0,0,0,0,0,66481061888,2147479552,36661583872,383500288
99,1707930587651,1128931.4489898682,4700,1,0.30000000000000004,831343.9599761963,4700,1,0.30000000000000004,841370.7491607666,4700,1,0.30000000000000004,910114.5544891357,4700,1,0.30000000000000004,892882.9096069336,4700,1,0.30000000000000004,882361.4947814941,4700,1,0.30000000000000004,856196.9968261719,4700,1,0.30000000000000004,889900.9389038086,4700,1,0.30000000000000004,1038900.0098571777,4700,1,0.30000000000000004,908413.4619445801,4700,1,0.30000000000000004,839284.720626831,4700,1,0.30000000000000004,840120.5838928223,4700,1,0.30000000000000004,206128774.8935089,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,5.263157844543457,5.263157844543457,4.761904716491699,5,9.090909004211426,0,0,9.523809432983398,0,0,4.761904716491699,9.523809432983398,0,5,0,0,0,5,0,5,5,14.285715103149414,5,0,66481061888,2147479552,36669194240,383500288
99,1707930587751,1128931.9271697998,4700,1,0.3062499999999999,831344.0162200928,4700,1,0.30000000000000004,841370.8209838867,4700,1,0.30000000000000004,910114.6336364746,4700,1,0.3062499999999999,892882.9680175781,4700,1,0.3062499999999999,882361.5613708496,4700,1,0.3062499999999999,856197.1168823242,4700,1,0.3062499999999999,889901.0259246826,4700,1,0.3062499999999999,1038900.0925140381,4700,1,0.3062499999999999,908413.4824676514,4700,1,0.3062499999999999,839284.8169250488,4700,1,0.30000000000000004,840120.6014404297,4700,1,0.30000000000000004,206128779.16809082,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,5.263157844543457,5.263157844543457,4.761904716491699,5,9.090909004211426,0,0,9.523809432983398,0,0,4.761904716491699,9.523809432983398,0,5,0,0,0,5,0,5,5,14.285715103149414,5,0,66481061888,2147479552,36673126400,383500288
99,1707930587851,1128932.4023742676,4700,1,0.3062499999999999,831344.173751831,4700,1,0.30000000000000004,841370.969543457,4700,1,0.30000000000000004,910114.8320922852,4700,1,0.3062499999999999,892883.1601715088,4700,1,0.3062499999999999,882361.7137451172,4700,1,0.3062499999999999,856197.2787780762,4700,1,0.3062499999999999,889901.1863861084,4700,1,0.3062499999999999,1038900.2703552246,4700,1,0.3062499999999999,908413.6024932861,4700,1,0.3062499999999999,839284.9803619385,4700,1,0.3062499999999999,840120.7171783447,4700,1,0.30000000000000004,206128784.46772766,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,95,5,0,5.263157844543457,5,5.263157844543457,0,0,0,5,0,0,5.263157844543457,5,0,5.263157844543457,0,5,0,0,5,0,10,0,66481061888,2147479552,36672561152,383500288
99,1707930587951,1128932.8873138428,4700,1,0.30000000000000004,831344.2976989746,4700,1,0.30000000000000004,841371.0690612793,4700,1,0.30000000000000004,910114.9754486084,4700,1,0.30000000000000004,892883.3273925781,4700,1,0.30000000000000004,882361.8142700195,4700,1,0.30000000000000004,856197.3916015625,4700,1,0.30000000000000004,889901.2970581055,4700,1,0.30000000000000004,1038900.3973236084,4700,1,0.30000000000000004,908413.6728210449,4700,1,0.30000000000000004,839285.0845336914,4700,1,0.30000000000000004,840120.8329772949,4700,1,0.30000000000000004,206128789.3504181,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,95,5,0,5.263157844543457,5,5.263157844543457,0,0,0,5,0,0,5.263157844543457,5,0,5.263157844543457,0,5,0,0,5,0,10,0,66481061888,2147479552,36674633728,383500288
99,1707930588051,1128933.3606567383,4700,1,0.30000000000000004,831344.3937530518,4700,1,0.30000000000000004,841371.1631469727,4700,1,0.30000000000000004,910115.116394043,4700,1,0.30000000000000004,892883.4645996094,4700,1,0.30000000000000004,882361.932723999,4700,1,0.30000000000000004,856197.5304718018,4700,1,0.30000000000000004,889901.4132843018,4700,1,0.30000000000000004,1038900.5046844482,4700,1,0.30000000000000004,908413.8409423828,4700,1,0.30000000000000004,839285.1617889404,4700,1,0.30000000000000004,840120.9259185791,4700,1,0.30000000000000004,206128794.17337036,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,95.23809814453125,9.523809432983398,10,13.636363983154297,5,4.761904716491699,5,0,4.761904716491699,0,13.043478012084961,5,5.263157844543457,0,5,5,4.761904716491699,10,5,0,5,10,0,0,66481061888,2147479552,36680151040,383500288
99,1707930588151,1128933.8404083252,4700,1,0.30000000000000004,831344.5589141846,4700,1,0.30000000000000004,841371.3020935059,4700,1,0.30000000000000004,910115.2537078857,4700,1,0.30000000000000004,892883.6731567383,4700,1,0.30000000000000004,882362.114151001,4700,1,0.30000000000000004,856197.687423706,4700,1,0.30000000000000004,889901.5463562012,4700,1,0.30000000000000004,1038900.6192016602,4700,1,0.30000000000000004,908414.0392150879,4700,1,0.30000000000000004,839285.2718353271,4700,1,0.30000000000000004,840121.0617675781,4700,1,0.30000000000000004,206128799.39582825,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,95.23809814453125,9.523809432983398,10,13.636363983154297,5,4.761904716491699,5,0,4.761904716491699,0,13.043478012084961,5,5.263157844543457,0,5,5,4.761904716491699,10,5,0,5,10,0,0,66481061888,2147479552,36686352384,383500288
99,1707930588251,1128934.305847168,4700,1,0.30000000000000004,831344.6985015869,4700,1,0.30000000000000004,841371.3547668457,4700,1,0.30000000000000004,910115.3537139893,4700,1,0.30000000000000004,892883.7631225586,4700,1,0.30000000000000004,882362.1640167236,4700,1,0.30000000000000004,856197.811630249,4700,1,0.30000000000000004,889901.6229858398,4700,1,0.30000000000000004,1038900.7085418701,4700,1,0.30000000000000004,908414.1288909912,4700,1,0.30000000000000004,839285.3127441406,4700,1,0.30000000000000004,840121.1300048828,4700,1,0.30000000000000004,206128803.79768372,4700,3000,3000,4700,3000,3000,3000,3000,4690,4700,3000,3000,4690,3000,4700,3000,3000,4700,4700,3000,3000,4690,4690,3000,94.73684692382813,0,5,0,5,0,5.263157844543457,0,5,4.761904716491699,0,5.263157844543457,14.285715103149414,9.090909004211426,0,14.285715103149414,0,5,4.761904716491699,0,0,5,4.761904716491699,9.523809432983398,66481061888,2147479552,36690452480,383500288
