Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1705217664389,634062.6218414307,4700,1,0.30000000000000004,426774.21141052246,4700,1,0.30000000000000004,420968.066696167,4700,1,0.30000000000000004,478051.19844055176,4700,1,0.30000000000000004,469753.10302734375,4700,1,0.30000000000000004,449867.23405456543,4700,1,0.30000000000000004,433116.95446777344,4700,1,0.30000000000000004,450307.3232574463,4700,1,0.30000000000000004,598640.9865722656,4700,1,0.30000000000000004,476999.4616088867,4700,1,0.30000000000000004,434032.4476928711,4700,1,0.30000000000000004,433412.0795593262,4700,1,0.30000000000000004,149315659.04185486,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,4.34782600402832,0,0,0,0,0,0,0,4.545454502105713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,37860265984,0
99,1705217664390,634062.6230773926,4700,1,0.30000000000000004,426774.2122039795,4700,1,0.30000000000000004,420968.0675354004,4700,1,0.30000000000000004,478051.1996307373,4700,1,0.30000000000000004,469753.10430908203,4700,1,0.30000000000000004,449867.2366027832,4700,1,0.30000000000000004,433116.96475219727,4700,1,0.30000000000000004,450307.3246612549,4700,1,0.30000000000000004,598640.9876403809,4700,1,0.30000000000000004,476999.4715423584,4700,1,0.30000000000000004,434032.4486236572,4700,1,0.30000000000000004,433412.08042907715,4700,1,0.30000000000000004,149315659.12727356,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,4.34782600402832,0,0,0,0,0,0,0,4.545454502105713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,37860265984,0
99,1705217664490,634062.7511444092,4700,1,0.29374999999999996,426774.3920440674,4700,1,0.30000000000000004,420968.14849853516,4700,1,0.30000000000000004,478051.31005859375,4700,1,0.29374999999999996,469753.2033996582,4700,1,0.29374999999999996,449867.3780517578,4700,1,0.29374999999999996,433117.15968322754,4700,1,0.29374999999999996,450307.43838500977,4700,1,0.29374999999999996,598641.0974121094,4700,1,0.30000000000000004,476999.62774658203,4700,1,0.30000000000000004,434032.57162475586,4700,1,0.30000000000000004,433412.23069763184,4700,1,0.30000000000000004,149315663.81134033,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,4.34782600402832,0,0,0,0,0,0,0,4.545454502105713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,37878132736,0
99,1705217664590,634062.8033294678,4700,1,0.30000000000000004,426774.47076416016,4700,1,0.30000000000000004,420968.24951171875,4700,1,0.30000000000000004,478051.36976623535,4700,1,0.30000000000000004,469753.26544189453,4700,1,0.30000000000000004,449867.45893859863,4700,1,0.30000000000000004,433117.22033691406,4700,1,0.30000000000000004,450307.5005340576,4700,1,0.30000000000000004,598641.1895599365,4700,1,0.30000000000000004,476999.69232177734,4700,1,0.30000000000000004,434032.62632751465,4700,1,0.30000000000000004,433412.2851715088,4700,1,0.30000000000000004,149315667.38279724,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,9.090909004211426,4.761904716491699,0,9.523809432983398,0,4.761904716491699,4.761904716491699,9.523809432983398,15.000000953674316,9.090909004211426,0,0,0,0,4.761904716491699,10.526315689086914,0,0,0,0,5,0,9.523809432983398,4.761904716491699,66481061888,2147479552,37880168448,0
99,1705217664690,634062.9638214111,4700,1,0.30000000000000004,426774.8134460449,4700,1,0.30000000000000004,420968.3617706299,4700,1,0.30000000000000004,478051.51959228516,4700,1,0.30000000000000004,469753.40406799316,4700,1,0.30000000000000004,449867.66860961914,4700,1,0.30000000000000004,433117.39598083496,4700,1,0.30000000000000004,450307.68949890137,4700,1,0.30000000000000004,598641.3303375244,4700,1,0.30000000000000004,476999.7996673584,4700,1,0.30000000000000004,434032.7512664795,4700,1,0.30000000000000004,433412.37603759766,4700,1,0.30000000000000004,149315672.30111694,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,9.090909004211426,4.761904716491699,0,9.523809432983398,0,4.761904716491699,4.761904716491699,9.523809432983398,15.000000953674316,9.090909004211426,0,0,0,0,4.761904716491699,10.526315689086914,0,0,0,0,5,0,9.523809432983398,4.761904716491699,66481061888,2147479552,37886820352,0
99,1705217664790,634063.0725250244,4700,1,0.30000000000000004,426775.2752380371,4700,1,0.30000000000000004,420968.44354248047,4700,1,0.30000000000000004,478051.5785675049,4700,1,0.30000000000000004,469753.50033569336,4700,1,0.30000000000000004,449867.7667236328,4700,1,0.30000000000000004,433117.5005340576,4700,1,0.30000000000000004,450307.80157470703,4700,1,0.30000000000000004,598641.4187316895,4700,1,0.30000000000000004,476999.87046813965,4700,1,0.30000000000000004,434032.8642272949,4700,1,0.30000000000000004,433412.4382171631,4700,1,0.30000000000000004,149315676.86506653,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,9.523809432983398,5.263157844543457,20,4.761904716491699,0,5,4.761904716491699,9.523809432983398,5,5.555555820465088,9.090909004211426,5,0,4.761904716491699,0,65,0,9.523809432983398,5,9.523809432983398,10,0,0,4.761904716491699,66481061888,2147479552,37888430080,0
99,1705217664891,634063.1315612793,4700,1,0.3062499999999999,426775.7144012451,4700,1,0.3062499999999999,420968.48793029785,4700,1,0.3062499999999999,478051.6146850586,4700,1,0.3062499999999999,469753.592376709,4700,1,0.3062499999999999,449867.8202972412,4700,1,0.3062499999999999,433117.6184539795,4700,1,0.3062499999999999,450307.91148376465,4700,1,0.3062499999999999,598641.4761657715,4700,1,0.3062499999999999,476999.92443847656,4700,1,0.3062499999999999,434032.97273254395,4700,1,0.3062499999999999,433412.48416137695,4700,1,0.3062499999999999,149315681.28367615,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,9.523809432983398,5.263157844543457,20,4.761904716491699,0,5,4.761904716491699,9.523809432983398,5,5.555555820465088,9.090909004211426,5,0,4.761904716491699,0,65,0,9.523809432983398,5,9.523809432983398,10,0,0,4.761904716491699,66481061888,2147479552,37891231744,0
99,1705217664991,634063.2510528564,4700,1,0.3062499999999999,426776.16680908203,4700,1,0.3062499999999999,420968.5969238281,4700,1,0.3062499999999999,478051.7708892822,4700,1,0.3062499999999999,469753.755279541,4700,1,0.3062499999999999,449867.9409790039,4700,1,0.3062499999999999,433117.77604675293,4700,1,0.3062499999999999,450308.0581817627,4700,1,0.3062499999999999,598641.6099090576,4700,1,0.3062499999999999,477000.03230285645,4700,1,0.3062499999999999,434033.06929016113,4700,1,0.3062499999999999,433412.58656311035,4700,1,0.3062499999999999,149315686.41441345,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,5.263157844543457,5,0,0,0,0,5,0,5,0,0,0,5,0,4.761904716491699,94.73684692382813,5.263157844543457,5.263157844543457,5.263157844543457,0,10,0,4.761904716491699,4.761904716491699,66481061888,2147479552,37895819264,0
99,1705217665091,634063.3892059326,4700,1,0.30000000000000004,426776.59938049316,4700,1,0.30000000000000004,420968.7109069824,4700,1,0.30000000000000004,478051.89778137207,4700,1,0.30000000000000004,469753.8995819092,4700,1,0.30000000000000004,449868.1779022217,4700,1,0.30000000000000004,433117.9432373047,4700,1,0.30000000000000004,450308.2263183594,4700,1,0.30000000000000004,598641.7919158936,4700,1,0.30000000000000004,477000.1302947998,4700,1,0.30000000000000004,434033.17112731934,4700,1,0.30000000000000004,433412.68659973145,4700,1,0.30000000000000004,149315691.56730652,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,5.263157844543457,5,0,0,0,0,5,0,5,0,0,0,5,0,4.761904716491699,94.73684692382813,5.263157844543457,5.263157844543457,5.263157844543457,0,10,0,4.761904716491699,4.761904716491699,66481061888,2147479552,37898756096,0
99,1705217665191,634063.5680541992,4700,1,0.30000000000000004,426777.038772583,4700,1,0.3062499999999999,420968.82847595215,4700,1,0.3062499999999999,478052.11975097656,4700,1,0.30000000000000004,469754.0657043457,4700,1,0.30000000000000004,449868.3660888672,4700,1,0.30000000000000004,433118.125579834,4700,1,0.30000000000000004,450308.3758239746,4700,1,0.30000000000000004,598641.9292449951,4700,1,0.30000000000000004,477000.22883605957,4700,1,0.30000000000000004,434033.332611084,4700,1,0.30000000000000004,433412.78524780273,4700,1,0.30000000000000004,149315696.75143433,3000,4700,4690,4690,4700,3000,3000,4700,3000,4700,4700,3000,4690,3000,3000,3000,3000,4690,4700,4690,3000,4700,3000,4690,5.263157844543457,5,0,0,0,0,5,0,5,0,0,0,5,0,4.761904716491699,94.73684692382813,5.263157844543457,5.263157844543457,5.263157844543457,0,10,0,4.761904716491699,4.761904716491699,66481061888,2147479552,37898715136,0
